target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,initial_rate,hist_score,hist_rank,mc_score,mc_rank,combined_score,combined_rank
0.950000,0.990000,0.200000,0.050000,success_rate,5,0.027034,1.642335,3,1.257923,1,1.437335,1
0.950000,0.990000,0.300000,0.050000,success_rate,5,0.027034,1.642335,4,1.253279,2,1.434679,2
0.950000,0.990000,0.400000,0.050000,success_rate,5,0.027034,1.644417,2,1.251683,3,1.434674,3
0.950000,0.990000,0.500000,0.050000,success_rate,5,0.027034,1.644417,1,1.246893,4,1.431926,4
0.950000,0.990000,0.600000,0.050000,success_rate,5,0.027034,1.640870,6,1.238576,8,1.425602,5
0.950000,0.990000,0.200000,0.100000,amount,1,0.027034,1.625281,9,1.244374,5,1.422131,6
0.950000,0.990000,0.300000,0.100000,amount,1,0.027034,1.625281,12,1.244314,6,1.422097,7
0.950000,0.990000,0.100000,0.100000,amount,1,0.027034,1.625281,8,1.244248,7,1.422060,8
0.950000,0.990000,0.700000,0.050000,success_rate,5,0.027034,1.636706,7,1.235187,9,1.421843,9
0.950000,0.990000,0.100000,0.050000,success_rate,5,0.027034,1.642335,5,1.226992,15,1.419553,10
0.950000,0.990000,0.400000,0.100000,amount,1,0.027034,1.625281,10,1.234376,10,1.416407,11
0.950000,0.990000,0.500000,0.100000,amount,1,0.027034,1.625281,11,1.225202,16,1.411134,12
0.950000,0.990000,0.600000,0.100000,amount,1,0.027034,1.615934,18,1.228299,13,1.408847,13
0.950000,0.990000,0.400000,0.100000,success_rate,5,0.027034,1.624297,13,1.221321,19,1.408470,14
0.950000,0.990000,0.200000,0.100000,success_rate,5,0.027034,1.617145,17,1.222798,17,1.406215,15
0.950000,0.990000,0.300000,0.100000,success_rate,5,0.027034,1.617145,15,1.220167,20,1.404702,16
0.950000,0.990000,0.700000,0.100000,amount,1,0.027034,1.607645,22,1.222577,18,1.401952,17
0.950000,0.990000,0.200000,0.100000,amount,5,0.027034,1.599647,27,1.228600,11,1.401901,18
0.950000,0.990000,0.100000,0.100000,amount,5,0.027034,1.599647,24,1.228395,12,1.401784,19
0.950000,0.990000,0.300000,0.100000,amount,5,0.027034,1.599647,23,1.228255,14,1.401704,20
0.950000,0.990000,0.500000,0.100000,success_rate,5,0.027034,1.624297,14,1.203758,29,1.398306,21
0.950000,0.990000,0.400000,0.100000,amount,5,0.027034,1.599647,26,1.217708,21,1.395673,22
0.950000,0.990000,0.600000,0.100000,success_rate,5,0.027034,1.615904,19,1.204578,28,1.395164,23
0.950000,0.990000,0.100000,0.100000,success_rate,5,0.027034,1.617145,16,1.203129,30,1.394860,24
0.950000,0.990000,0.500000,0.100000,amount,5,0.027034,1.599647,25,1.210096,24,1.391304,25
0.950000,0.990000,0.600000,0.100000,amount,5,0.027034,1.590299,33,1.211666,22,1.388132,26
0.950000,0.990000,0.500000,0.250000,amount,5,0.027034,1.595502,31,1.206745,26,1.387575,27
0.950000,0.990000,0.400000,0.250000,amount,5,0.027034,1.592548,32,1.206626,27,1.386221,28
0.950000,0.990000,0.200000,0.250000,amount,5,0.027034,1.583088,36,1.211347,23,1.384799,29
0.950000,0.990000,0.300000,0.250000,success_rate,5,0.027034,1.595651,29,1.198347,33,1.382803,30
0.950000,0.990000,0.200000,0.250000,success_rate,5,0.027034,1.595651,28,1.197254,34,1.382172,31
0.950000,0.990000,0.700000,0.100000,amount,5,0.027034,1.581987,41,1.207497,25,1.382116,32
0.950000,0.990000,0.300000,0.250000,amount,5,0.027034,1.583088,38,1.201802,31,1.379333,33
0.950000,0.990000,0.700000,0.100000,success_rate,5,0.027034,1.586885,34,1.198851,32,1.379289,34
0.950000,0.990000,0.100000,0.250000,amount,5,0.027034,1.583088,37,1.190177,35,1.372645,35
0.950000,0.990000,0.400000,0.250000,success_rate,5,0.027034,1.607845,21,1.168492,41,1.370677,36
0.950000,0.990000,0.100000,0.250000,success_rate,5,0.027034,1.595651,30,1.172707,40,1.367929,37
0.950000,0.990000,0.600000,0.250000,amount,5,0.027034,1.583200,35,1.178812,36,1.366125,38
0.950000,0.990000,0.500000,0.250000,success_rate,5,0.027034,1.608152,20,1.155651,55,1.363254,39
0.950000,0.990000,0.300000,0.500000,amount,5,0.027034,1.571323,51,1.167725,42,1.354575,40
0.950000,0.990000,0.200000,0.500000,amount,5,0.027034,1.571323,50,1.167511,43,1.354451,41
0.950000,0.990000,0.200000,0.500000,success_rate,5,0.027034,1.581632,43,1.153690,58,1.350819,42
0.950000,0.990000,0.400000,0.250000,amount,1,0.027034,1.566368,56,1.159976,51,1.347942,43
0.950000,0.990000,0.700000,0.250000,amount,5,0.027034,1.537865,107,1.177216,37,1.345510,44
0.950000,0.990000,0.200000,0.250000,amount,1,0.027034,1.556722,78,1.160392,49,1.344026,45
0.950000,0.990000,0.500000,0.250000,amount,1,0.027034,1.569143,54,1.148273,65,1.342313,46
0.950000,0.990000,0.600000,0.250000,amount,1,0.027034,1.556841,76,1.152705,60,1.339619,47
0.950000,0.990000,0.300000,0.250000,amount,1,0.027034,1.556722,79,1.152057,61,1.339191,48
0.950000,0.990000,0.100000,0.500000,amount,5,0.027034,1.571323,52,1.140159,80,1.338491,49
0.900000,0.990000,0.400000,0.100000,amount,1,0.031273,1.555775,80,1.150166,63,1.337685,50
