target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_cv,median_min_wd,p10_min_wd,median_adj,score
0.600000,0.900000,0.400000,0.750000,amount,5,36,0.722222,1.000000,0.984615,2.469942,1.774634,1.453769,1.077730,0.340744,43613.064246,32331.891123,11.500000,2.978966
0.600000,0.900000,0.300000,0.750000,success_rate,5,36,0.611111,1.000000,1.000000,2.463945,1.740810,1.417376,1.090042,0.332956,42521.269296,32701.253825,10.000000,2.910937
0.600000,0.900000,0.400000,0.750000,success_rate,5,36,0.611111,1.000000,1.000000,2.477159,1.756908,1.413661,1.090042,0.337560,42409.823807,32701.253825,11.000000,2.910820
0.600000,0.900000,0.300000,0.750000,amount,5,36,0.722222,1.000000,0.984615,2.375791,1.747366,1.468750,1.029338,0.337862,44062.500000,30880.143572,10.000000,2.899967
0.600000,0.900000,0.200000,0.750000,success_rate,5,36,0.500000,1.000000,0.984615,2.315838,1.689171,1.456409,1.009328,0.325334,43692.258175,30279.825868,10.000000,2.824162
0.600000,0.900000,0.200000,0.750000,amount,5,36,0.666667,1.000000,0.984615,2.244282,1.671006,1.468750,1.052717,0.288537,44062.500000,31581.519517,9.000000,2.820738
0.600000,0.900000,0.400000,0.750000,amount,10,36,1.000000,1.000000,1.000000,2.283432,1.678317,1.453769,1.058986,0.305320,43613.064246,31769.569979,13.000000,2.812814
0.600000,0.900000,0.300000,0.750000,amount,10,36,1.000000,1.000000,1.000000,2.268439,1.659221,1.455098,1.029338,0.299242,43652.932268,30880.143572,11.000000,2.806931
0.700000,0.900000,0.500000,0.750000,amount,5,36,0.750000,1.000000,1.000000,2.607627,1.838684,1.347295,1.009256,0.402653,40418.854129,30277.688618,14.000000,2.805934
0.600000,0.900000,0.500000,0.500000,success_rate,5,36,0.777778,1.000000,1.000000,2.495960,1.725920,1.355714,1.005953,0.345529,40671.428571,30178.602585,15.500000,2.799208
0.700000,0.900000,0.500000,0.750000,success_rate,5,36,0.777778,1.000000,0.992308,2.621879,1.825883,1.338642,0.987766,0.411014,40159.255009,29632.984774,16.000000,2.788477
0.600000,0.900000,0.400000,0.750000,success_rate,10,36,1.000000,1.000000,1.000000,2.288046,1.661488,1.413661,0.994092,0.294846,42409.823807,29822.774247,12.000000,2.757679
0.700000,0.900000,0.400000,0.750000,amount,5,36,0.694444,1.000000,0.992308,2.489472,1.749860,1.349444,1.065255,0.360065,40483.333333,31957.662327,12.000000,2.754602
