target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,initial_rate,initial_wd,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_avg_wd_ratio,p10_avg_wd_ratio,median_cv,median_downside_cv,median_min_wd,p10_min_wd,median_adj,median_util,p10_util,median_discounted,p10_floor_self,smoothness,score
0.950000,0.990000,0.300000,0.050000,success_rate,5,0.022556,22555.555556,2000,0.868000,1.000000,1.000000,2.381306,1.205595,1.000000,1.000000,3.142682,1.244151,0.675149,0.000000,22555.555556,22555.555556,22.000000,0.070885,0.028063,0.056177,1.000000,1.000000,0.897490
0.950000,0.990000,0.100000,0.050000,success_rate,5,0.022556,22555.555556,2000,0.820000,1.000000,1.000000,2.378491,1.194868,1.000000,1.000000,3.140530,1.221719,0.672452,0.000000,22555.555556,22555.555556,21.000000,0.070836,0.027557,0.056311,1.000000,1.000000,0.896570
0.950000,0.990000,0.200000,0.050000,success_rate,5,0.022556,22555.555556,2000,0.857000,1.000000,1.000000,2.378608,1.202336,1.000000,1.000000,3.139344,1.222349,0.672787,0.000000,22555.555556,22555.555556,21.000000,0.070810,0.027571,0.056243,1.000000,1.000000,0.896298
0.950000,0.990000,0.400000,0.050000,success_rate,5,0.022556,22555.555556,2000,0.903000,1.000000,1.000000,2.382032,1.207178,1.000000,0.965629,3.142682,1.250233,0.673536,0.000000,22555.555556,21780.309780,22.000000,0.070885,0.028200,0.056256,0.965629,1.000000,0.891162
0.950000,0.990000,0.100000,0.100000,success_rate,5,0.022556,22555.555556,2000,0.812000,1.000000,1.000000,2.311363,1.183836,1.000000,1.000000,3.062477,1.201034,0.628660,0.000000,22555.555556,22555.555556,18.000000,0.069076,0.027090,0.055834,1.000000,1.000000,0.887489
0.950000,0.990000,0.200000,0.100000,success_rate,5,0.022556,22555.555556,2000,0.862500,1.000000,1.000000,2.311346,1.189565,1.000000,0.975374,3.053630,1.217033,0.626969,0.000000,22555.555556,22000.092378,18.000000,0.068876,0.027451,0.055708,0.975374,1.000000,0.882250
0.950000,0.990000,0.500000,0.050000,success_rate,5,0.022556,22555.555556,2000,0.909500,1.000000,1.000000,2.383138,1.215708,1.000000,0.946136,3.142688,1.251771,0.676569,0.002728,22555.555556,21340.618371,23.000000,0.070885,0.028234,0.056252,0.946136,0.948261,0.876983
0.950000,0.990000,0.300000,0.100000,success_rate,5,0.022556,22555.555556,2000,0.881000,1.000000,1.000000,2.320463,1.196835,1.000000,0.942821,3.051793,1.236762,0.631706,0.000000,22555.555556,21265.843410,19.000000,0.068835,0.027896,0.055707,0.942821,1.000000,0.876582
0.950000,0.990000,0.100000,0.250000,amount,5,0.022556,22555.555556,2000,0.855500,1.000000,1.000000,2.249577,1.176851,1.000000,1.000000,2.974328,1.193807,0.615907,0.000000,22555.555556,22555.555556,20.000000,0.067088,0.026927,0.054545,1.000000,1.000000,0.875798
0.950000,0.990000,0.600000,0.050000,success_rate,5,0.022556,22555.555556,2000,0.914000,1.000000,1.000000,2.387564,1.218836,1.000000,0.921446,3.140922,1.264196,0.681711,0.003331,22555.555556,20783.735538,25.000000,0.070845,0.028515,0.056252,0.921446,0.937539,0.870382
0.950000,0.990000,0.300000,0.100000,amount,1,0.022556,22555.555556,2000,0.959500,1.000000,1.000000,2.238955,1.183118,1.000000,1.000000,2.950318,1.208899,0.735447,0.000000,22555.555556,22555.555556,38.000000,0.066546,0.027267,0.052803,1.000000,1.000000,0.869307
0.950000,0.990000,0.100000,0.100000,amount,1,0.022556,22555.555556,2000,0.926500,1.000000,1.000000,2.234956,1.183161,1.000000,1.000000,2.950318,1.198731,0.733358,0.000000,22555.555556,22555.555556,38.000000,0.066546,0.027038,0.052870,1.000000,1.000000,0.868993
