target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,initial_rate,initial_wd,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_avg_wd_ratio,p10_avg_wd_ratio,median_cv,median_downside_cv,median_min_wd,p10_min_wd,median_adj,median_util,p10_util,median_discounted,p10_floor_self,smoothness,score
0.950000,0.990000,0.200000,0.050000,success_rate,5,0.027034,27034.482759,2000,0.870000,1.000000,1.000000,4.335475,1.385381,1.000000,0.967468,4.811050,1.378466,0.860020,0.000000,27034.482759,26154.990896,24.000000,0.130064,0.037266,0.097613,0.967468,1.000000,1.257923
0.950000,0.990000,0.300000,0.050000,success_rate,5,0.027034,27034.482759,2000,0.902000,1.000000,1.000000,4.326214,1.396491,1.000000,0.946898,4.800773,1.386881,0.859346,0.000000,27034.482759,25598.898801,24.000000,0.129786,0.037494,0.097613,0.946898,1.000000,1.253279
0.950000,0.990000,0.400000,0.050000,success_rate,5,0.027034,27034.482759,2000,0.906500,1.000000,1.000000,4.335475,1.420859,1.000000,0.928674,4.809347,1.406277,0.861598,0.000000,27034.482759,25106.209117,25.000000,0.130018,0.038018,0.097613,0.928674,1.000000,1.251683
0.950000,0.990000,0.500000,0.050000,success_rate,5,0.027034,27034.482759,2000,0.941500,1.000000,1.000000,4.337270,1.442128,1.000000,0.900149,4.811050,1.414412,0.865584,0.000000,27034.482759,24335.064638,25.000000,0.130064,0.038238,0.097696,0.900149,1.000000,1.246893
0.950000,0.990000,0.200000,0.100000,amount,1,0.027034,27034.482759,2000,0.929500,1.000000,1.000000,4.290357,1.366459,1.000000,1.000000,4.760983,1.339289,0.985685,0.000000,27034.482759,27034.482759,40.000000,0.128711,0.036207,0.093414,1.000000,1.000000,1.244374
0.950000,0.990000,0.300000,0.100000,amount,1,0.027034,27034.482759,2000,0.944500,1.000000,1.000000,4.287043,1.377250,1.000000,1.000000,4.757305,1.344448,0.987961,0.000000,27034.482759,27034.482759,40.000000,0.128611,0.036346,0.093414,1.000000,1.000000,1.244314
0.950000,0.990000,0.100000,0.100000,amount,1,0.027034,27034.482759,2000,0.914000,1.000000,1.000000,4.290357,1.360126,1.000000,1.000000,4.760983,1.333279,0.984833,0.000000,27034.482759,27034.482759,40.000000,0.128711,0.036044,0.093494,1.000000,1.000000,1.244248
0.950000,0.990000,0.600000,0.050000,success_rate,5,0.027034,27034.482759,2000,0.944500,1.000000,1.000000,4.356940,1.466259,1.000000,0.886356,4.820922,1.438883,0.870560,0.002156,27034.482759,23962.180500,26.000000,0.130331,0.038899,0.097769,0.886356,0.958665,1.238576
0.950000,0.990000,0.700000,0.050000,success_rate,5,0.027034,27034.482759,2000,0.947000,1.000000,1.000000,4.370652,1.491740,1.000000,0.867645,4.830352,1.472000,0.876349,0.003137,27034.482759,23456.324976,28.000000,0.130586,0.039795,0.098077,0.867645,0.940958,1.235187
0.950000,0.990000,0.400000,0.100000,amount,1,0.027034,27034.482759,2000,0.959500,1.000000,1.000000,4.290357,1.401441,1.000000,0.939716,4.760983,1.369776,0.995362,0.000000,27034.482759,25404.730929,40.000000,0.128711,0.037031,0.093482,0.939716,1.000000,1.234376
0.950000,0.990000,0.200000,0.100000,amount,5,0.027034,27034.482759,2000,0.926500,1.000000,1.000000,4.195081,1.353462,1.000000,1.000000,4.655256,1.325673,0.944079,0.000000,27034.482759,27034.482759,39.000000,0.125852,0.035839,0.092005,1.000000,1.000000,1.228600
