target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,hist_score,mc_score,mc_1970_score,jst_cv_score,geo3_score
0.950000,0.990000,0.200000,0.050000,success_rate,5,1.642335,1.257923,0.896298,0.906146,1.227975
0.950000,0.990000,0.300000,0.050000,success_rate,5,1.642335,1.253279,0.897490,0.915143,1.227005
0.950000,0.990000,0.400000,0.050000,success_rate,5,1.644417,1.251683,0.891162,0.912897,1.224111
0.950000,0.990000,0.100000,0.050000,success_rate,5,1.642335,1.226992,0.896570,0.900569,1.217949
0.950000,0.990000,0.500000,0.050000,success_rate,5,1.644417,1.246893,0.876983,0.916965,1.216029
0.950000,0.990000,0.600000,0.050000,success_rate,5,1.640870,1.238576,0.870382,0.923757,1.209397
0.950000,0.990000,0.300000,0.100000,amount,1,1.625281,1.244314,0.869307,0.870076,1.206917
0.950000,0.990000,0.200000,0.100000,amount,1,1.625281,1.244374,0.868981,0.881905,1.206785
0.950000,0.990000,0.100000,0.100000,amount,1,1.625281,1.244248,0.868993,0.898543,1.206750
0.950000,0.990000,0.700000,0.050000,success_rate,5,1.636706,1.235187,0.864057,0.816027,1.204339
0.950000,0.990000,0.200000,0.100000,success_rate,5,1.617145,1.222798,0.882250,0.886088,1.203830
0.950000,0.990000,0.300000,0.100000,success_rate,5,1.617145,1.220167,0.876582,0.877428,1.200384
0.950000,0.990000,0.100000,0.100000,success_rate,5,1.617145,1.203129,0.887489,,1.199706
0.950000,0.990000,0.400000,0.100000,amount,1,1.625281,1.234376,0.859905,0.880425,1.199340
0.950000,0.990000,0.500000,0.100000,amount,1,1.625281,1.225202,0.859380,0.870272,1.196118
0.950000,0.990000,0.300000,0.100000,amount,5,1.599647,1.228255,0.865712,0.858203,1.193701
0.950000,0.990000,0.200000,0.100000,amount,5,1.599647,1.228600,0.865098,0.867356,1.193530
0.950000,0.990000,0.100000,0.100000,amount,5,1.599647,1.228395,0.865185,0.884211,1.193504
0.950000,0.990000,0.600000,0.100000,amount,1,1.615934,1.228299,0.849324,0.865489,1.190146
0.950000,0.990000,0.400000,0.100000,success_rate,5,1.624297,1.221321,0.847143,0.881685,1.188915
0.950000,0.990000,0.400000,0.100000,amount,5,1.599647,1.217708,0.856043,,1.185826
0.950000,0.990000,0.200000,0.250000,amount,5,1.583088,1.211347,0.868876,,1.185524
0.950000,0.990000,0.500000,0.100000,amount,5,1.599647,1.210096,0.855760,,1.183219
0.950000,0.990000,0.100000,0.250000,amount,5,1.583088,1.190177,0.875798,,1.181699
0.950000,0.990000,0.500000,0.100000,success_rate,5,1.624297,1.203758,0.842618,,1.181078
0.950000,0.990000,0.300000,0.250000,amount,5,1.583088,1.201802,0.865561,,1.180897
0.950000,0.990000,0.700000,0.100000,amount,1,1.607645,1.222577,0.836479,0.860826,1.180250
0.950000,0.990000,0.400000,0.250000,amount,5,1.592548,1.206626,0.853378,,1.179240
0.950000,0.990000,0.600000,0.100000,amount,5,1.590299,1.211666,0.847424,,1.177572
0.950000,0.990000,0.600000,0.100000,success_rate,5,1.615904,1.204578,0.838826,,1.177536
0.950000,0.990000,0.200000,0.250000,success_rate,5,1.595651,1.197254,0.849444,,1.175131
0.950000,0.990000,0.700000,0.100000,amount,5,1.581987,1.207497,0.842004,,1.171658
0.950000,0.990000,0.500000,0.250000,amount,5,1.595502,1.206745,0.829856,,1.169065
0.950000,0.990000,0.700000,0.100000,success_rate,5,1.586885,1.198851,0.832638,,1.165706
0.950000,0.990000,0.100000,0.250000,success_rate,5,1.595651,1.172707,0.840045,,1.162724
0.950000,0.990000,0.200000,0.500000,amount,5,1.571323,1.167511,0.834901,,1.152711
0.950000,0.990000,0.300000,0.250000,success_rate,5,1.595651,1.198347,0.791793,,1.148270
0.950000,0.990000,0.100000,0.100000,amount,10,1.516657,1.175725,0.846908,,1.147298
0.950000,0.990000,0.600000,0.250000,amount,5,1.583200,1.178812,0.809075,,1.147246
0.950000,0.990000,0.200000,0.100000,amount,10,1.516657,1.175786,0.846323,,1.147054
0.950000,0.990000,0.100000,0.500000,amount,5,1.571323,1.140159,0.835657,,1.143983
0.950000,0.990000,0.300000,0.100000,amount,10,1.516657,1.164123,0.841154,,1.140917
0.950000,0.990000,0.400000,0.250000,success_rate,5,1.607845,1.168492,0.783101,,1.137355
0.950000,0.990000,0.400000,0.100000,amount,10,1.516657,1.155405,0.835786,,1.135636
0.950000,0.990000,0.300000,0.050000,amount,1,1.510404,1.161120,0.832796,,1.134583
0.950000,0.990000,0.200000,0.050000,amount,1,1.510404,1.161021,0.832665,,1.134491
0.950000,0.990000,0.400000,0.050000,amount,1,1.510404,1.161400,0.831731,,1.134190
0.950000,0.990000,0.100000,0.050000,amount,1,1.510404,1.160061,0.832679,,1.134185
0.950000,0.990000,0.500000,0.250000,success_rate,5,1.608152,1.155651,0.784976,,1.134149
0.900000,0.990000,0.300000,0.050000,success_rate,5,1.581159,1.127718,0.814214,,1.132326
