target,upper,lower,adj,mode,min_remain,swr_mean,swr_std,success_rate_mean,success_rate_std,funded_ratio_mean,funded_ratio_std,eff_success_mean,eff_success_std,eff_funded_mean,eff_funded_std,median_cew_mean,median_cew_std,p10_cew_mean,p10_cew_std,p10_avg_wd_mean,p10_avg_wd_std,p50_avg_wd_mean,p50_avg_wd_std,p90_avg_wd_mean,p90_avg_wd_std,p90_max_drop_mean,p90_max_drop_std,mean_years_below_floor_mean,mean_years_below_floor_std,init_wd_mean,init_wd_std,n_seeds
0.75,0.9,0.1,0.05,amount,1,0.04045,0.0,0.705,0.0003535533905932577,0.9102460000000001,0.00012074767078501125,0.705,0.0003535533905932577,0.9093859999999999,0.00012074767078497401,51931.472373994344,14.104910360491074,3.481010584834871e-10,5.169878828456423e-26,21740.65893741695,85.88177697206581,74640.94273794568,38.96666404828379,271936.958958574,27.774566654258766,1.0,0.0,4.5487,0.00603738353924927,40450.0,0.0,5
0.75,0.9,0.1,0.05,amount,3,0.04045,0.0,0.7051000000000001,0.00022360679774997814,0.910248,0.00012377398757414392,0.7051000000000001,0.00022360679774997814,0.9093880000000001,0.00012377398757414392,51888.378673352614,11.197746783232684,3.481010584834871e-10,5.169878828456423e-26,21740.65893741695,85.88177697206581,73521.02022323722,28.35888623234207,261672.44986421644,15.122049740807437,1.0,0.0,4.5486,0.006188699378706115,40450.0,0.0,5
0.75,0.9,0.1,0.05,amount,5,0.04045,0.0,0.7066,0.0002236067977499626,0.9102779999999999,0.0001237739875741084,0.7066,0.0002236067977499626,0.909418,0.00012377398757414392,51799.72865963442,15.705632856377177,3.481010584834871e-10,5.169878828456423e-26,21740.65893741695,85.88177697206581,71939.33515550835,84.51055176523762,250365.24964013067,30.359109337832177,1.0,0.0,4.5471,0.006188699378706115,40450.0,0.0,5
0.75,0.9,0.1,0.05,amount,10,0.04045,0.0,0.7150000000000001,0.0003535533905932577,0.9105460000000001,0.00012074767078497486,0.7150000000000001,0.0003535533905932577,0.909686,0.00012074767078500159,51717.58982577705,14.25732235680985,3.481010584834871e-10,5.169878828456423e-26,21740.65893741695,85.88177697206581,68362.866998514,24.474224361598655,227509.72313663975,68.19160704447127,1.0,0.0,4.5347,0.006037383539249696,40450.0,0.0,5
0.75,0.9,0.1,0.05,success_rate,1,0.04045,0.0,0.985,0.0,0.99907,0.0,0.744,0.0007071067811865359,0.899212,0.00020656718035539308,54536.20260409357,22.075242154384867,16935.190225336253,57.67872092619075,26094.839753875058,2.818803607737462,87355.61673670667,13.726940020667314,344697.79783445294,91.56072251571041,0.5392973735547557,0.0008453857654125396,4.4948999999999995,0.010784247771634791,40450.0,0.0,5
0.75,0.9,0.1,0.05,success_rate,3,0.04045,0.0,0.994,0.0,0.99925,0.0,0.7361000000000001,0.0006519202405202607,0.8990539999999999,0.00020743673734413694,54172.87429571289,5.547956221898745,16841.674008171954,121.17293741728471,25844.89554344475,16.907935438716734,83846.56906464393,99.09225597746527,324995.00448674255,252.3143780119161,0.6245057584763354,2.763721184900256e-05,4.567200000000001,0.010527345344387689,40450.0,0.0,5
0.75,0.9,0.1,0.05,success_rate,5,0.04045,0.0,0.9949999999999999,0.0,0.99928,0.0,0.7314,0.0004183300132670556,0.8986599999999999,0.00019390719429659801,54206.461573733,31.219915606810467,17170.514371020945,104.53667765592554,25630.10876330992,35.11411730490312,80247.2064797794,24.260732025679257,305464.5392472766,166.14346928377083,0.5758714877167692,1.8698882167709504e-05,4.6098,0.009378166132032607,40450.0,0.0,5
0.75,0.9,0.1,0.05,success_rate,10,0.04045,0.0,0.9955,0.0,0.99932,0.0,0.7322,0.00027386127875263016,0.8974719999999999,0.00020179197209016086,53934.667741050514,18.98274990419284,17096.945709386397,77.29076779272435,25192.19302045141,21.738203125840016,75038.83970810812,231.32395558245796,264060.2844849493,101.09540311288244,0.5139789797592135,0.00029300994043712845,4.7176,0.010418733128360991,40450.0,0.0,5
0.75,0.9,0.1,0.1,amount,1,0.04045,0.0,0.6622,0.0002738612787525495,0.9298040000000001,0.0001246194206373654,0.6532,0.0002738612787525563,0.906348,0.00010616025621669803,51005.51506287934,21.16635395992936,5.29483716806766e-10,6.160621631240566e-25,22827.069615107855,33.88432543095972,79005.05502241387,77.71914900818504,300437.0430582994,16.813129257949942,1.0,0.0,4.8026,0.005572252686301904,40450.0,0.0,5
0.75,0.9,0.1,0.1,amount,3,0.04045,0.0,0.663,0.0003535533905932414,0.92982,0.0001226784414638418,0.6535,0.0003535533905932986,0.906354,9.914635646357531e-05,51026.28155540309,34.60426298894392,5.29483716806766e-10,6.160621631240566e-25,22827.069615107855,33.88432543095972,77496.57485981562,126.81776924504302,290685.3582338437,25.640040014704525,1.0,0.0,4.8043,0.005215361924162134,40450.0,0.0,5
0.75,0.9,0.1,0.1,amount,5,0.04045,0.0,0.6662,0.0002738612787525495,0.9299139999999999,0.00012461942063738256,0.6557000000000001,0.00027386127875263016,0.906388,0.0001061602562167497,51060.031450889284,5.043424070395031,5.29483716806766e-10,6.160621631240566e-25,22827.069615107855,33.88432543095972,75956.13665546346,107.01532447369351,276901.8804399882,35.21646855647451,1.0,0.0,4.8061,0.0055722526863019066,40450.0,0.0,5
0.75,0.9,0.1,0.1,amount,10,0.04045,0.0,0.6930999999999999,0.00022360679774997814,0.931002,0.00013255187663706593,0.6776,0.00022360679775004278,0.9069900000000001,0.00010977249200049,51528.145730643344,8.216243050564504,5.29483716806766e-10,6.160621631240566e-25,22826.99565739982,33.92566904661644,72482.6375136158,150.51102586605094,254278.77342505488,26.51400807833742,1.0,0.0,4.785,0.005755432216610496,40450.0,0.0,5
0.75,0.9,0.1,0.1,success_rate,1,0.04045,0.0,0.986,0.0,0.9991199999999999,0.0,0.7398,0.0005700877125496048,0.89312,0.00015604486534327692,55309.15305434569,21.609863418193783,19127.52230616204,43.43401320186481,26812.83175684958,85.40824569782906,85160.24294714944,98.52450214171931,322992.60165519605,45.53385205876014,0.5423706028361306,0.0007011442850015478,4.4104,0.009037422198834938,40450.0,0.0,5
0.75,0.9,0.1,0.1,success_rate,3,0.04045,0.0,0.9935,0.0,0.9992699999999999,0.0,0.7279,0.00022360679774994607,0.892882,0.00014973309587402263,55030.450690845624,14.634753596780605,18934.95280723349,54.40796911181226,26495.65429854494,1.8332188160171787,81677.15573983747,43.420032165145514,305804.64017435943,237.24939531690535,0.6350839970336086,3.301399780769455e-05,4.4994,0.00950920606570301,40450.0,0.0,5
0.75,0.9,0.1,0.1,success_rate,5,0.04045,0.0,0.9945,0.0,0.9993000000000001,0.0,0.7162,0.00027386127875263016,0.892304,0.00014432601983016088,54974.27898705462,6.071221901832413,18733.756944056557,44.82407259975925,26368.750488824084,10.895397248018416,79242.91891443418,170.14122598062127,290427.10015069,197.8731063088582,0.5766983000529121,0.0001363591184379124,4.5631,0.008763560920082649,40450.0,0.0,5
0.75,0.9,0.1,0.1,success_rate,10,0.04045,0.0,0.9955,0.0,0.99938,0.0,0.712,0.0006123724356958253,0.89039,0.0001462873883832715,54483.67191727301,19.31156523217799,18703.250538627643,56.2610821011653,25878.720675913726,8.542949771577788,74833.47617351536,138.56329624891725,255296.60164020894,53.80131131873507,0.5187343119868941,0.0007844762301541093,4.7183,0.00725947656515247,40450.0,0.0,5
0.75,0.9,0.1,0.15,amount,1,0.04045,0.0,0.6839000000000001,0.0004183300132670556,0.9540580000000001,6.099180272792948e-05,0.6482,0.0005700877125495148,0.904164,0.00010212737145349527,50309.574219091955,39.69480222925176,9.854329074222018e-10,8.40005882993887e-25,23982.369564785386,9.161813082303345,79646.41461511437,211.2969698254179,298410.9969589225,8.715607265223415,1.0,0.0,4.8711,0.005224940191045119,40450.0,0.0,5
0.75,0.9,0.1,0.15,amount,3,0.04045,0.0,0.6863,0.000447213595499904,0.954106,5.983310120660002e-05,0.6496999999999999,0.0005700877125495604,0.904194,0.00010212737145349559,50374.162530200556,44.755266755623644,9.854329074222018e-10,8.40005882993887e-25,23929.734072812444,27.124032434232685,78073.43509378277,157.41441091736397,289077.22651662456,18.10217764167247,1.0,0.0,4.875400000000001,0.005017469481720943,40450.0,0.0,5
