target,upper,lower,adj,mode,min_remain,init_wd,swr,success_rate,funded_ratio,eff_success,eff_funded,median_cew,p10_cew,p10_avg_wd,p50_avg_wd,p90_avg_wd,p90_max_drop,mean_years_below_floor,seed
0.75,0.9,0.1,0.05,amount,1,40450.0,0.04045,0.7055,0.91036,0.7055,0.9095,51941.71539649324,3.4810105848348717e-10,21703.884927090017,74606.42096562724,271924.53779475705,1.0,4.543,42
0.75,0.9,0.1,0.05,amount,3,40450.0,0.04045,0.7055,0.91036,0.7055,0.9095,51892.51810237303,3.4810105848348717e-10,21703.884927090017,73494.60641994601,261665.6870779805,1.0,4.543,42
0.75,0.9,0.1,0.05,amount,5,40450.0,0.04045,0.707,0.9103900000000001,0.707,0.90953,51805.67609979986,3.4810105848348717e-10,21703.884927090017,71854.5439214874,250351.67263368753,1.0,4.5415,42
0.75,0.9,0.1,0.05,amount,10,40450.0,0.04045,0.7155,0.9106599999999999,0.7155,0.9097999999999999,51722.45020682569,3.4810105848348717e-10,21703.884927090017,68340.72315921186,227540.219350409,1.0,4.529,42
0.75,0.9,0.1,0.05,success_rate,1,40450.0,0.04045,0.985,0.99907,0.745,0.89947,54550.94769881727,16990.75128881795,26093.80716011099,87348.60265070494,344738.74503437575,0.5384733079140336,4.4815,42
0.75,0.9,0.1,0.05,success_rate,3,40450.0,0.04045,0.994,0.99925,0.737,0.8993099999999999,54174.17130567385,16955.58320356224,25837.501422092064,83743.23244439336,325110.7314757523,0.6244868041963378,4.554,42
0.75,0.9,0.1,0.05,success_rate,5,40450.0,0.04045,0.995,0.99928,0.732,0.8989,54218.878150284676,17272.205101708347,25615.726361753084,80241.57671507096,305538.8408655438,0.5758510041176425,4.5985,42
0.75,0.9,0.1,0.05,success_rate,10,40450.0,0.04045,0.9955,0.99932,0.7325,0.8977,53914.0544325896,17184.70838958679,25192.295397102534,74810.97132931778,264104.9042398396,0.5136580034513122,4.7055,42
0.75,0.9,0.1,0.1,amount,1,40450.0,0.04045,0.6625,0.9299700000000001,0.6535,0.9064200000000001,51002.80200567345,5.294837168067664e-10,22811.916084100787,78944.54037438813,300429.52399831236,1.0,4.799,42
0.75,0.9,0.1,0.1,amount,3,40450.0,0.04045,0.6635,0.92999,0.654,0.9064300000000001,51051.30734343034,5.294837168067664e-10,22811.916084100787,77398.92724166259,290673.89165936,1.0,4.8005,42
0.75,0.9,0.1,0.1,amount,5,40450.0,0.04045,0.6665,0.9300799999999999,0.656,0.90646,51058.542055204,5.294837168067664e-10,22811.916084100787,75866.35762526497,276917.62972351216,1.0,4.8025,42
0.75,0.9,0.1,0.1,amount,10,40450.0,0.04045,0.6935,0.9311800000000001,0.678,0.90706,51533.99340766396,5.294837168067664e-10,22811.823636965746,72330.10576393752,254266.91600017104,1.0,4.7815,42
0.75,0.9,0.1,0.1,success_rate,1,40450.0,0.04045,0.986,0.9991200000000001,0.7395,0.89313,55327.26135563262,19169.218748469943,26884.730146036844,85052.53704613783,323015.3779580127,0.5419554639732793,4.4035,42
0.75,0.9,0.1,0.1,success_rate,3,40450.0,0.04045,0.9935,0.99927,0.728,0.8929,55040.90022008344,18993.848182844857,26497.502585244405,81642.93405056356,306040.00850753277,0.6350453570132782,4.4905,42
0.75,0.9,0.1,0.1,success_rate,5,40450.0,0.04045,0.9945,0.9993,0.7165,0.8923399999999999,54982.40623044746,18775.276724471914,26378.329012320508,79078.52342224414,290515.59169401514,0.5765489722124332,4.554,42
0.75,0.9,0.1,0.1,success_rate,10,40450.0,0.04045,0.9955,0.9993799999999999,0.712,0.89043,54497.48603576128,18782.44967533922,25874.455879439214,74682.81548138877,255260.327578313,0.5181877692981718,4.7125,42
0.75,0.9,0.1,0.15,amount,1,40450.0,0.04045,0.6845,0.95415,0.649,0.90428,50375.01050608285,9.854329074222026e-10,23978.27227741555,79439.09176213064,298407.0992208604,1.0,4.8645,42
0.75,0.9,0.1,0.15,amount,3,40450.0,0.04045,0.687,0.9542,0.6505,0.90431,50430.47752389062,9.854329074222026e-10,23917.603836743074,77926.34669196507,289069.130976675,1.0,4.869,42
0.75,0.9,0.1,0.15,amount,5,40450.0,0.04045,0.698,0.95447,0.659,0.90449,50889.45690763073,9.854329074222026e-10,23917.603836743074,76777.11845915514,279230.7293086798,1.0,4.867,42
0.75,0.9,0.1,0.15,amount,10,40450.0,0.04045,0.748,0.95648,0.6805,0.9048299999999999,51854.163850030236,9.854329074222026e-10,23888.990966902267,73282.07105627502,256978.11995075652,1.0,4.8855,42
0.75,0.9,0.1,0.15,success_rate,1,40450.0,0.04045,0.989,0.99937,0.7365,0.8911400000000002,55728.17054679293,20242.71010101601,27311.778632285008,83321.39807995291,312104.70184952166,0.5449969303605445,4.3075,42
0.75,0.9,0.1,0.15,success_rate,3,40450.0,0.04045,0.994,0.9994700000000001,0.7245,0.8909,55323.82493543135,20158.636072707206,27038.55319258832,80695.94062283706,289925.56974778906,0.6428009309799422,4.4015,42
0.75,0.9,0.1,0.15,success_rate,5,40450.0,0.04045,0.995,0.9995,0.711,0.8901400000000002,55162.9946962391,20007.1099726992,26870.747578061408,78656.800545501,277973.7263708357,0.5760168968220513,4.4765,42
0.75,0.9,0.1,0.15,success_rate,10,40450.0,0.04045,0.9955,0.99954,0.707,0.88839,54642.21257655314,19642.83441859924,26231.254778707113,73938.4159917616,250711.1010279979,0.5348001933201385,4.655,42
