target,upper,lower,adj,mode,min_remain,init_wd,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,mean_years_below_floor,passes_eff_sr,passes_p10_wd,passes_years_below,gating_pass
0.75,0.9,0.1,0.05,amount,1,42186.04651162791,0.04218604651162791,0.6995,0.699,0.9068099999999999,55156.61126742532,22133.629286909025,4.677,False,False,True,False
0.75,0.9,0.1,0.05,amount,3,42186.04651162791,0.04218604651162791,0.6995,0.699,0.9068099999999999,55100.138948299485,22133.629286909025,4.677,False,False,True,False
0.75,0.9,0.1,0.05,amount,5,42186.04651162791,0.04218604651162791,0.701,0.7005,0.90684,55101.39405734289,22133.629286909025,4.6755,False,False,True,False
0.75,0.9,0.1,0.05,amount,10,42186.04651162791,0.04218604651162791,0.7075,0.707,0.9070999999999999,54958.10209981312,22133.629286909025,4.6625,False,False,True,False
0.75,0.9,0.1,0.05,success_rate,1,42186.04651162791,0.04218604651162791,0.981,0.728,0.89705,57964.43653891602,26657.28950156762,4.6085,False,True,True,False
0.75,0.9,0.1,0.05,success_rate,3,42186.04651162791,0.04218604651162791,0.991,0.721,0.89691,57734.115245825684,26448.114822988042,4.6705,False,True,True,False
0.75,0.9,0.1,0.05,success_rate,5,42186.04651162791,0.04218604651162791,0.994,0.7185,0.89648,57801.5610469344,26172.035347262194,4.717,False,True,True,False
0.75,0.9,0.1,0.05,success_rate,10,42186.04651162791,0.04218604651162791,0.995,0.7195,0.8955,57376.364502702934,25867.291655470737,4.8,False,True,True,False
0.75,0.9,0.1,0.1,amount,1,42186.04651162791,0.04218604651162791,0.66,0.653,0.9037999999999999,53774.80998307711,23096.69250932061,4.952,False,False,True,False
0.75,0.9,0.1,0.1,amount,3,42186.04651162791,0.04218604651162791,0.661,0.654,0.90382,53791.007641345066,23096.69250932061,4.953,False,False,True,False
0.75,0.9,0.1,0.1,amount,5,42186.04651162791,0.04218604651162791,0.665,0.6575,0.90388,54076.22740796107,23096.69250932061,4.955,False,False,True,False
0.75,0.9,0.1,0.1,amount,10,42186.04651162791,0.04218604651162791,0.689,0.6765,0.90451,54447.910971131496,23000.923062906746,4.933,False,False,True,False
0.75,0.9,0.1,0.1,success_rate,1,42186.04651162791,0.04218604651162791,0.9835,0.725,0.89063,59095.470112739145,27608.357116140167,4.5295,False,True,True,False
0.75,0.9,0.1,0.1,success_rate,3,42186.04651162791,0.04218604651162791,0.993,0.7145,0.8904200000000001,58726.27874821055,27336.895530710462,4.617,False,True,True,False
0.75,0.9,0.1,0.1,success_rate,5,42186.04651162791,0.04218604651162791,0.994,0.706,0.8899100000000001,58603.27646364008,27103.976058265467,4.6685,False,True,True,False
0.75,0.9,0.1,0.1,success_rate,10,42186.04651162791,0.04218604651162791,0.9945,0.7045,0.8882599999999999,58192.58753337475,26580.73767886587,4.8095,False,True,True,False
