target,upper,lower,adj,mode,min_remain,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,init_wd,source
0.95,0.99,0.8,0.05,amount,10,0.023692307692307697,0.969,0.9635,0.99023,36019.393664560885,27033.422194976716,23692.307692307695,POOL
0.95,0.99,0.8,0.05,amount,5,0.023692307692307697,0.9685,0.9635,0.99024,36148.16938361332,28363.49978713119,23692.307692307695,POOL
0.95,0.99,0.8,0.05,amount,3,0.023692307692307697,0.9675,0.964,0.99026,36181.763322629864,28897.995492748625,23692.307692307695,POOL
0.95,0.99,0.8,0.05,amount,1,0.023692307692307697,0.9675,0.964,0.99026,36202.57433017618,29547.128374253687,23692.307692307695,POOL
0.95,0.99,0.7,0.05,amount,10,0.023692307692307697,0.9665,0.963,0.9899300000000001,36077.570171553365,27066.868348083925,23692.307692307695,POOL
0.95,0.99,0.7,0.05,amount,5,0.023692307692307697,0.9655,0.963,0.9899300000000001,36187.000503692965,28280.58106666143,23692.307692307695,POOL
0.95,0.99,0.7,0.05,amount,3,0.023692307692307697,0.965,0.9625,0.98992,36220.28052324813,28969.88077077547,23692.307692307695,POOL
0.95,0.99,0.7,0.05,amount,1,0.023692307692307697,0.965,0.9625,0.98992,36245.62205861707,29450.835534243608,23692.307692307695,POOL
0.95,0.9,0.8,0.05,amount,10,0.023692307692307697,0.968,0.962,0.99001,37389.676184895296,27540.5136315541,23692.307692307695,POOL
0.95,0.9,0.8,0.05,amount,5,0.023692307692307697,0.967,0.962,0.9900399999999999,37525.37860606873,28792.456863730156,23692.307692307695,POOL
0.95,0.9,0.8,0.05,amount,3,0.023692307692307697,0.9665,0.9625,0.99005,37541.78495692064,29149.307381049377,23692.307692307695,POOL
0.95,0.9,0.8,0.05,amount,1,0.023692307692307697,0.9665,0.963,0.9900599999999999,37551.26285492681,29686.088136797105,23692.307692307695,POOL
0.95,0.95,0.8,0.05,amount,10,0.023692307692307697,0.968,0.962,0.98984,37419.342308519714,27570.665044948237,23692.307692307695,POOL
0.95,0.95,0.8,0.05,amount,5,0.023692307692307697,0.9665,0.9615,0.98989,37551.31099528415,28845.377122364665,23692.307692307695,POOL
0.95,0.9,0.7,0.05,amount,10,0.023692307692307697,0.964,0.9605,0.9896800000000001,37424.21411858314,27562.797731101975,23692.307692307695,POOL
0.95,0.95,0.8,0.05,amount,3,0.023692307692307697,0.9645,0.9605,0.9898800000000001,37563.046126040266,29273.78169158119,23692.307692307695,POOL
0.95,0.95,0.8,0.05,amount,1,0.023692307692307697,0.9645,0.961,0.98989,37578.42376801006,29710.735334507757,23692.307692307695,POOL
0.85,0.9,0.7,0.2,success_rate,3,0.03311111111111112,0.9965,0.8695,0.93166,53160.57496450707,32923.76299434733,33111.11111111112,POOL
0.85,0.9,0.7,0.2,success_rate,1,0.03311111111111112,0.9935,0.871,0.93169,53215.686577623404,34142.041299312485,33111.11111111112,POOL
0.85,0.9,0.7,0.25,success_rate,3,0.03311111111111112,0.9965,0.867,0.9282100000000001,53378.8999514938,33396.65665623929,33111.11111111112,POOL
0.85,0.9,0.7,0.25,success_rate,1,0.03311111111111112,0.9935,0.8675,0.92822,53429.52962965818,34651.734069779515,33111.11111111112,POOL
0.85,0.9,0.8,0.25,success_rate,3,0.03311111111111112,0.9975,0.864,0.92523,53107.67018852135,33696.65678364654,33111.11111111112,POOL
0.85,0.9,0.5,0.25,success_rate,3,0.03311111111111112,0.9965,0.857,0.9308900000000001,53749.85531735641,32230.159778194302,33111.11111111112,POOL
0.85,0.9,0.5,0.25,success_rate,1,0.03311111111111112,0.9935,0.86,0.93095,53975.659159021256,33076.168065449754,33111.11111111112,POOL
0.85,0.9,0.8,0.25,success_rate,1,0.03311111111111112,0.9945,0.8635,0.92522,53262.80310405012,35077.10252162668,33111.11111111112,POOL
0.8,0.99,0.5,0.1,amount,1,0.03703571428571428,0.8975,0.8585,0.94624,48321.76722409253,27490.815760465375,37035.71428571428,POOL
0.8,0.99,0.5,0.1,amount,3,0.03703571428571428,0.8975,0.8585,0.94624,48284.33520799324,27142.161180361905,37035.71428571428,POOL
0.8,0.99,0.5,0.1,amount,5,0.03703571428571428,0.899,0.859,0.9462200000000001,48191.21688751259,27101.46336279135,37035.71428571428,POOL
0.8,0.99,0.5,0.1,amount,10,0.03703571428571428,0.9055,0.857,0.94611,47949.38794170656,26608.073921032083,37035.71428571428,POOL
0.95,0.99,0.8,0.05,amount,10,0.026600000000000002,0.9745,0.97,0.9922199999999999,39278.17372613562,31754.78947559862,26600.000000000004,USA
0.95,0.99,0.8,0.05,amount,5,0.026600000000000002,0.974,0.9705,0.99226,39432.8004710097,32466.768997400657,26600.000000000004,USA
0.95,0.99,0.8,0.05,amount,3,0.026600000000000002,0.974,0.9705,0.99226,39485.56178351505,33223.579402233234,26600.000000000004,USA
0.95,0.99,0.8,0.05,amount,1,0.026600000000000002,0.974,0.9705,0.99226,39505.232498158766,33983.56595752296,26600.000000000004,USA
0.95,0.99,0.7,0.05,amount,10,0.026600000000000002,0.974,0.9695,0.99197,39297.908868213344,31779.720663708813,26600.000000000004,USA
0.95,0.99,0.7,0.05,amount,5,0.026600000000000002,0.9735,0.9695,0.99203,39453.48166578226,32503.717390074307,26600.000000000004,USA
0.95,0.99,0.7,0.05,amount,3,0.026600000000000002,0.9735,0.9695,0.99203,39499.805986228406,33125.35343309608,26600.000000000004,USA
0.95,0.99,0.7,0.05,amount,1,0.026600000000000002,0.9735,0.9695,0.99203,39522.25416879654,33968.38739377009,26600.000000000004,USA
0.95,0.9,0.8,0.05,amount,10,0.026600000000000002,0.97,0.9665,0.9916400000000001,40377.59877673062,31894.691738011865,26600.000000000004,USA
0.95,0.9,0.8,0.05,amount,5,0.026600000000000002,0.969,0.966,0.9916500000000001,40543.6744127789,33081.626477280486,26600.000000000004,USA
0.95,0.9,0.8,0.05,amount,3,0.026600000000000002,0.969,0.966,0.9916500000000001,40579.16291165295,33585.4030194887,26600.000000000004,USA
0.95,0.9,0.8,0.05,amount,1,0.026600000000000002,0.969,0.966,0.9916500000000001,40597.23707214418,34192.29677237234,26600.000000000004,USA
0.95,0.95,0.8,0.05,amount,10,0.026600000000000002,0.969,0.9655,0.99148,40507.295617234355,31851.187430896032,26600.000000000004,USA
0.95,0.95,0.8,0.05,amount,5,0.026600000000000002,0.9685,0.9655,0.9914700000000001,40638.536813078696,33104.42923349564,26600.000000000004,USA
0.95,0.9,0.7,0.05,amount,10,0.026600000000000002,0.968,0.9645,0.99142,40451.85303793894,31889.987154535207,26600.000000000004,USA
0.95,0.95,0.8,0.05,amount,3,0.026600000000000002,0.9685,0.9655,0.9914700000000001,40673.75081165365,33444.1743717659,26600.000000000004,USA
0.95,0.95,0.8,0.05,amount,1,0.026600000000000002,0.9685,0.9655,0.9914700000000001,40703.487524220895,34103.81891994889,26600.000000000004,USA
0.85,0.9,0.7,0.2,success_rate,3,0.03706896551724138,1.0,0.878,0.93653,55300.28464055283,35969.37878663298,37068.96551724138,USA
0.85,0.9,0.7,0.2,success_rate,1,0.03706896551724138,0.9945,0.8755,0.93648,55189.57174947171,36619.14783974345,37068.96551724138,USA
0.85,0.9,0.7,0.25,success_rate,3,0.03706896551724138,1.0,0.8705,0.9317300000000001,55301.64681729661,36160.44589683165,37068.96551724138,USA
0.85,0.9,0.7,0.25,success_rate,1,0.03706896551724138,0.9945,0.8685,0.9316899999999999,55244.58252332467,37182.1033795956,37068.96551724138,USA
0.85,0.9,0.8,0.25,success_rate,3,0.03706896551724138,1.0,0.872,0.9315399999999999,55099.492356008835,36507.4133088948,37068.96551724138,USA
0.85,0.9,0.5,0.25,success_rate,3,0.03706896551724138,1.0,0.8605,0.9299299999999999,55683.47679200756,35255.77615096836,37068.96551724138,USA
0.85,0.9,0.5,0.25,success_rate,1,0.03706896551724138,0.9945,0.8605,0.92993,55708.41668604716,36205.15432063628,37068.96551724138,USA
0.85,0.9,0.8,0.25,success_rate,1,0.03706896551724138,0.9945,0.87,0.9315,55088.32221895672,37582.26394201458,37068.96551724138,USA
