target,upper,lower,adj,mode,min_remain,swr_mean,swr_std,success_rate_mean,success_rate_std,funded_ratio_mean,funded_ratio_std,eff_success_mean,eff_success_std,eff_funded_mean,eff_funded_std,median_cew_mean,median_cew_std,p10_cew_mean,p10_cew_std,p10_avg_wd_mean,p10_avg_wd_std,p50_avg_wd_mean,p50_avg_wd_std,p90_avg_wd_mean,p90_avg_wd_std,p90_max_drop_mean,p90_max_drop_std,mean_years_below_floor_mean,mean_years_below_floor_std,init_wd_mean,init_wd_std,n_seeds,init_wd_floor60,passes_eff_sr,passes_p10_wd,passes_years_below,gating_pass
0.95,0.99,0.8,0.05,amount,1,0.023707692307692218,3.440104580769952e-05,0.9675,0.0,0.99261,4.472135954998466e-05,0.9641,0.0002236067977500102,0.9902660000000001,1.3416407864999743e-05,36228.81130996674,31.015725183408648,24656.402821424406,0.8203296023716018,29570.72065982535,52.7539542828316,84329.57203227494,26.77213632514488,295721.61037256016,98.56494529290052,0.0332119719210513,3.2222665363962486e-06,0.4969,0.00022360679774998226,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.8,0.05,amount,3,0.023707692307692218,3.440104580769952e-05,0.9675,0.0,0.99261,4.472135954998466e-05,0.9640000000000001,0.0,0.990264,8.944271910008104e-06,36206.91673633556,30.6999993340724,24621.264850159863,7.971551212662005,28917.995978014427,44.72244463731285,80333.18950673073,29.392548054933936,276134.7888849836,69.80793885031058,0.03351986756626366,5.899295550240097e-06,0.4979,0.00022360679774998226,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.8,0.05,amount,5,0.023707692307692218,3.440104580769952e-05,0.9682999999999999,0.0004472135954999645,0.9926260000000001,5.366563145999277e-05,0.9635999999999999,0.00022360679774995434,0.990244,8.944271910008104e-06,36171.58401607506,34.09808169951332,24571.723031726302,18.03388841278774,28382.57477909841,42.652978708975944,77345.99368713403,42.455751368230686,259442.35619955914,72.57709543303767,0.0339518909090474,2.2891789958342573e-05,0.4989,0.00022360679774998226,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.8,0.05,amount,10,0.023707692307692218,3.440104580769952e-05,0.9689,0.00022360679774995434,0.9926960000000001,5.366563145999277e-05,0.9635999999999999,0.00022360679774995434,0.990232,4.472135954991639e-06,36050.709675800186,23.44747753150869,24324.171613684593,12.567148453781197,27033.421125362063,0.0023917310715741644,69992.77260537166,104.39972942805811,226171.37744331989,77.66990882435101,0.03492365285559777,4.942569568147107e-06,0.5013,0.001788854381999827,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.9,0.8,0.05,amount,1,0.023707692307692218,3.440104580769952e-05,0.9663999999999999,0.0002236067977500102,0.9924759999999999,3.130495168501595e-05,0.9629,0.00022360679774995434,0.990066,1.3416407864999743e-05,37577.174303543856,39.57458312170661,24932.560010508074,16.413256657480417,29684.74759512998,2.9975422943679644,83743.41248829568,89.44926989981573,292967.20606195554,227.9298304018317,0.033527175906769,3.5904666914372593e-06,0.503,0.0,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.9,0.8,0.05,amount,3,0.023707692307692218,3.440104580769952e-05,0.9663999999999999,0.0002236067977500102,0.9924759999999999,3.130495168501595e-05,0.9624,0.0002236067977500102,0.990056,1.3416407864999743e-05,37568.37263712996,39.13900812516608,24894.578579946898,18.872035334569617,29159.722716949655,23.289399081508307,79598.20642133152,21.720471239951664,275617.8948371811,29.48222529130791,0.033906179227397214,1.4248637166086617e-05,0.5059,0.0002236067977500102,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.9,0.8,0.05,amount,5,0.023707692307692218,3.440104580769952e-05,0.9669000000000001,0.00022360679774995434,0.992494,3.577708763997656e-05,0.962,0.0,0.9900439999999999,8.944271910008104e-06,37554.26937986519,42.661798906768524,24855.347675442248,19.098014616296613,28798.009226004262,12.415459480599338,76686.2035786564,39.533685617704926,256286.82989912582,108.99648682111905,0.03420357818148518,3.8589797048066314e-05,0.5078,0.0004472135954999645,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.9,0.8,0.05,amount,10,0.023707692307692218,3.440104580769952e-05,0.9679,0.00022360679774995434,0.992558,2.6832815729968453e-05,0.9621000000000001,0.0002236067977500102,0.990016,1.3416407865024569e-05,37416.28159470354,41.777049297998936,24638.41919356965,22.403435587452602,27545.20363680257,10.487170550419405,69828.00350568778,76.53673255139981,222666.56288452828,82.37861673458688,0.035778699526725,6.108714385003888e-05,0.5102,0.0006708203932499189,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.7,0.05,amount,10,0.023707692307692218,3.440104580769952e-05,0.9665000000000001,0.0,0.992164,3.577708763997656e-05,0.9632,0.0004472135954999645,0.98994,2.2360679775007845e-05,36097.12095488734,38.71900560413173,24646.62900632967,26.04854858364925,27076.622942666414,21.182859950730254,69981.83500969077,93.57392369059825,225612.7507588604,135.54282607578577,0.035870122355966635,4.143099744919666e-06,0.5178999999999999,0.0013416407864998625,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.7,0.05,amount,5,0.023707692307692218,3.440104580769952e-05,0.9655000000000001,0.0,0.992104,3.577708763997656e-05,0.9629999999999999,0.0,0.9899359999999999,1.3416407864999743e-05,36209.758182039994,27.86936764507575,24879.810673393677,16.812741868849578,28281.61731425401,12.8197199177612,77361.73273482334,40.56562143026219,259442.35619955914,72.57709543303767,0.03475524010360518,7.309161874036822e-06,0.5146,0.000894427190999929,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.7,0.05,amount,1,0.023707692307692218,3.440104580769952e-05,0.9651,0.0002236067977500102,0.9920960000000001,3.130495168501595e-05,0.9625999999999999,0.00022360679774995434,0.9899280000000001,1.7888543819960352e-05,36270.58824421436,35.16601281438154,24965.75811214452,27.254138086644325,29454.71211324087,8.668294158018492,84312.17627958787,18.100574627489646,294859.18489224283,115.32151473071745,0.0339340182280008,2.6941022813342112e-05,0.5149999999999999,0.0011180339887498834,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.7,0.05,amount,3,0.023707692307692218,3.440104580769952e-05,0.9651,0.0002236067977500102,0.9920960000000001,3.130495168501595e-05,0.9625999999999999,0.00022360679774995434,0.9899280000000001,1.7888543819960352e-05,36244.61157678966,31.03178533174807,24934.26512902627,21.758250164805045,28974.465568960422,5.646423021021413,80302.61869128158,31.199391093800422,276134.7888849836,69.80793885031058,0.03428346028132652,1.39008647385389e-05,0.5149999999999999,0.0011180339887498834,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.8,0.05,amount,1,0.023707692307692218,3.440104580769952e-05,0.9644999999999999,0.0,0.992154,3.577708763997656e-05,0.961,0.0,0.989884,1.3416407865024569e-05,37604.85921062935,40.90141253936305,25042.465699141594,0.4117215835414406,29715.2430707736,10.07960471506653,83568.11169096244,63.08435895655162,291597.979156229,233.85700909867418,0.033974608817565824,2.0306239922265094e-05,0.5149999999999999,0.0011180339887499082,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.8,0.05,amount,5,0.023707692307692218,3.440104580769952e-05,0.9661,0.000894427190999929,0.992186,5.366563145999277e-05,0.9614,0.0002236067977500102,0.989882,1.788854382001621e-05,37594.588455245736,36.257933235774864,24953.793633209636,13.112958075289665,28846.42771319414,2.349192511240542,76685.32058962525,37.042089151407005,255989.6887977894,109.71438721891387,0.034476126353259515,2.9161341801877933e-05,0.5168999999999999,0.000894427190999929,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.8,0.05,amount,3,0.023707692307692218,3.440104580769952e-05,0.9644999999999999,0.0,0.992154,3.577708763997656e-05,0.9606,0.00022360679774995434,0.989876,8.944271910008104e-06,37590.795999234615,41.61076108709507,25005.924554474965,8.26477569598724,29269.673445216315,9.186318140173963,79539.82119369887,34.84867349052445,275617.8948371811,29.48222529130791,0.0343563879976415,1.972449628692126e-05,0.5166999999999999,0.0004472135954999645,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.8,0.05,amount,10,0.023707692307692218,3.440104580769952e-05,0.9677999999999999,0.0004472135954999645,0.9922600000000001,4.472135955004052e-05,0.9621000000000001,0.0002236067977500102,0.989842,4.472135954991639e-06,37457.08317302413,42.99014575645945,24743.70314618906,18.80349622377037,27571.400301988033,1.6440847219149282,69773.1768125006,107.22122970781746,222511.7784649853,86.32216715968136,0.03609089215327508,1.2785123199547322e-05,0.52,0.0,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
