target,upper,lower,adj,mode,min_remain,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,init_wd,alloc,years,with_cfs,floor,env
0.95,0.99,0.8,0.05,amount,1,0.030142857142857155,0.974,0.974,0.9944333333333334,41051.94776350663,32141.140954693055,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.8,0.05,amount,3,0.030142857142857155,0.974,0.974,0.9944333333333334,40951.853243993435,31684.4653062529,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.8,0.05,amount,5,0.030142857142857155,0.974,0.974,0.9944333333333334,40757.671972123055,31273.95117980721,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.8,0.05,amount,10,0.030142857142857155,0.974,0.974,0.9945333333333333,40031.27850159755,30069.76739695442,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.8,0.05,amount,1,0.030142857142857155,0.9715,0.9715,0.9943666666666666,41813.357681133086,32781.35367384265,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.8,0.05,amount,3,0.030142857142857155,0.9715,0.9715,0.9943666666666666,41718.691377965166,32330.245634351537,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.8,0.05,amount,5,0.030142857142857155,0.9715,0.9715,0.9943666666666666,41536.183022473124,31895.025268915826,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.8,0.05,amount,10,0.030142857142857155,0.973,0.973,0.9944833333333334,40790.75192174064,30702.482268324206,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.7,0.05,amount,10,0.030142857142857155,0.973,0.973,0.9943166666666667,40069.02284820778,30308.45095548174,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.7,0.05,amount,5,0.030142857142857155,0.971,0.971,0.9941833333333334,40804.74100889295,31438.52008610206,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.7,0.05,amount,1,0.030142857142857155,0.971,0.971,0.9941833333333334,41076.97826799563,32335.342970779555,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.7,0.05,amount,3,0.030142857142857155,0.971,0.971,0.9941833333333334,40963.753115553656,31882.979942276896,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.8,0.05,amount,1,0.030142857142857155,0.971,0.971,0.9941666666666668,41930.243197543605,32893.928983687205,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.8,0.05,amount,5,0.030142857142857155,0.971,0.971,0.9941666666666668,41598.90694023484,32066.2646004281,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.8,0.05,amount,3,0.030142857142857155,0.971,0.971,0.9941666666666668,41796.72504667152,32523.145410815196,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.8,0.05,amount,10,0.030142857142857155,0.972,0.972,0.9942666666666666,40855.28963172753,30748.517294061738,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.7,0.05,amount,10,0.030142857142857155,0.9715,0.9715,0.99425,40839.57251654418,30885.69404315381,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.7,0.05,amount,5,0.030142857142857155,0.9685,0.9685,0.9940666666666667,41587.477876342666,32060.255690258036,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.7,0.05,amount,1,0.030142857142857155,0.9685,0.9685,0.9940666666666667,41879.39937137292,33012.65204356012,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.7,0.05,amount,3,0.030142857142857155,0.9685,0.9685,0.9940666666666667,41761.65715537926,32495.853146998306,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.7,0.05,amount,10,0.030142857142857155,0.9695,0.9695,0.9939833333333333,40889.1573995199,31070.693856623868,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.7,0.05,amount,5,0.030142857142857155,0.968,0.968,0.9938666666666667,41698.92448718127,32302.31557198061,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.7,0.05,amount,1,0.030142857142857155,0.968,0.968,0.9938666666666667,41952.11408185252,33102.78989248992,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.7,0.05,amount,3,0.030142857142857155,0.968,0.968,0.9938666666666667,41848.35921815524,32678.85981660692,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.5,0.05,amount,10,0.030142857142857155,0.969,0.969,0.9936666666666667,40102.610025597125,30474.231063472907,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.5,0.05,amount,5,0.030142857142857155,0.968,0.968,0.9935833333333334,40820.36730959841,31688.586885981826,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.5,0.05,amount,1,0.030142857142857155,0.9675,0.9675,0.9935666666666667,41090.22073419424,32458.506609389355,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.5,0.05,amount,3,0.030142857142857155,0.9675,0.9675,0.9935666666666667,40979.6078002738,32101.212951424928,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.5,0.05,amount,1,0.030142857142857155,0.964,0.964,0.9934000000000001,41919.68590712742,33088.32168270604,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.5,0.05,amount,3,0.030142857142857155,0.964,0.964,0.9934000000000001,41801.93329424743,32650.134442852013,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.5,0.05,amount,5,0.030142857142857155,0.9645,0.9645,0.9934166666666667,41641.641246717845,32247.649614260194,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.9,0.5,0.05,amount,10,0.030142857142857155,0.9675,0.9675,0.9936,40862.30895021031,31105.025000204994,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.5,0.05,amount,10,0.030142857142857155,0.966,0.966,0.9933833333333334,40940.035928664336,31377.73129133,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.5,0.05,amount,3,0.030142857142857155,0.964,0.964,0.9932666666666666,41901.035849374006,32813.94246030134,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.5,0.05,amount,1,0.030142857142857155,0.964,0.964,0.9932666666666666,41982.085583704524,33253.976748699635,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.5,0.05,amount,5,0.030142857142857155,0.964,0.964,0.9932666666666666,41729.87875747902,32419.49626158289,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
