target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,initial_rate,initial_wd,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_avg_wd_ratio,p10_avg_wd_ratio,median_cv,median_downside_cv,median_min_wd,p10_min_wd,median_adj,score
0.950000,0.990000,0.100000,0.050000,success_rate,1,0.013769,13769.230769,2000,0.960000,1.000000,1.000000,5.804344,1.298921,0.458974,0.458974,5.385582,0.818775,1.622497,0.136542,13769.230769,13769.230769,30.000000,2.017853
0.950000,0.990000,0.400000,0.250000,success_rate,1,0.013769,13769.230769,2000,0.994500,1.000000,1.000000,5.763714,1.410716,0.458974,0.458974,5.376731,0.870743,1.433827,0.169275,13769.230769,13769.230769,15.000000,2.008651
0.950000,0.990000,0.500000,0.250000,success_rate,1,0.013769,13769.230769,2000,0.997000,1.000000,1.000000,5.798962,1.426833,0.458974,0.458974,5.376731,0.872083,1.437387,0.169474,13769.230769,13769.230769,15.000000,2.008612
0.950000,0.990000,0.300000,0.250000,success_rate,1,0.013769,13769.230769,2000,0.994000,1.000000,1.000000,5.761478,1.389095,0.458974,0.458974,5.376731,0.862828,1.432626,0.169812,13769.230769,13769.230769,14.000000,2.008544
0.950000,0.990000,0.400000,0.050000,success_rate,1,0.013769,13769.230769,2000,0.997000,1.000000,1.000000,5.804344,1.341342,0.458974,0.458974,5.351849,0.824429,1.629214,0.137936,13769.230769,13769.230769,31.000000,2.007455
0.950000,0.990000,0.500000,0.050000,success_rate,1,0.013769,13769.230769,2000,0.999500,1.000000,1.000000,5.807287,1.354372,0.458974,0.458974,5.351849,0.829259,1.630544,0.138196,13769.230769,13769.230769,31.000000,2.007403
0.950000,0.990000,0.100000,0.100000,success_rate,1,0.013769,13769.230769,2000,0.961500,1.000000,1.000000,5.813953,1.350850,0.458974,0.458974,5.369289,0.828581,1.526380,0.166768,13769.230769,13769.230769,22.000000,2.006920
0.950000,0.990000,0.300000,0.100000,success_rate,1,0.013769,13769.230769,2000,0.996000,1.000000,1.000000,5.813953,1.366626,0.458974,0.458974,5.369289,0.831065,1.533235,0.168323,13769.230769,13769.230769,22.000000,2.006609
0.950000,0.990000,0.500000,0.100000,success_rate,1,0.013769,13769.230769,2000,0.999000,1.000000,1.000000,5.840544,1.400665,0.458974,0.458974,5.369289,0.850027,1.533671,0.168460,13769.230769,13769.230769,23.000000,2.006582
0.950000,0.990000,0.400000,0.100000,success_rate,1,0.013769,13769.230769,2000,0.996000,1.000000,1.000000,5.838638,1.386515,0.458974,0.458974,5.369289,0.843479,1.533829,0.168681,13769.230769,13769.230769,23.000000,2.006538
