target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,initial_rate,initial_wd,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_avg_wd_ratio,p10_avg_wd_ratio,median_cv,median_downside_cv,median_min_wd,p10_min_wd,median_adj,median_util,p10_util,median_discounted,p10_floor_self,smoothness,score
0.950000,0.990000,0.300000,0.250000,success_rate,5,0.014000,14000.000000,2000,0.915000,1.000000,1.000000,4.619677,1.327641,1.000000,1.000000,9.153077,1.737751,1.228368,0.000000,14000.000000,14000.000000,14.000000,0.128143,0.024329,0.087347,1.000000,1.000000,1.197317
0.950000,0.990000,0.200000,0.250000,success_rate,5,0.014000,14000.000000,2000,0.893500,1.000000,1.000000,4.605037,1.306300,1.000000,1.000000,9.104067,1.722541,1.225977,0.000000,14000.000000,14000.000000,14.000000,0.127457,0.024116,0.087734,1.000000,1.000000,1.195425
0.950000,0.990000,0.200000,0.500000,success_rate,5,0.014000,14000.000000,2000,0.890500,1.000000,1.000000,4.530027,1.321436,1.000000,1.000000,9.099828,1.761184,1.166062,0.000000,14000.000000,14000.000000,9.000000,0.127398,0.024657,0.086807,1.000000,1.000000,1.193640
0.950000,0.990000,0.300000,0.500000,amount,5,0.014000,14000.000000,2000,0.920500,1.000000,1.000000,4.491957,1.329579,1.000000,1.000000,8.985257,1.738833,1.188637,0.000000,14000.000000,14000.000000,11.000000,0.125794,0.024344,0.086568,1.000000,1.000000,1.186202
0.950000,0.990000,0.200000,0.500000,amount,5,0.014000,14000.000000,2000,0.892000,1.000000,1.000000,4.492686,1.316041,1.000000,1.000000,8.985257,1.727692,1.178838,0.000000,14000.000000,14000.000000,11.000000,0.125794,0.024188,0.086491,1.000000,1.000000,1.185621
0.950000,0.990000,0.400000,0.250000,success_rate,5,0.014000,14000.000000,2000,0.922500,1.000000,1.000000,4.619677,1.340208,1.000000,0.923932,9.131907,1.748781,1.232372,0.000000,14000.000000,12935.052733,14.000000,0.127847,0.024483,0.087427,0.923932,1.000000,1.181578
0.950000,0.990000,0.400000,0.100000,success_rate,5,0.014000,14000.000000,2000,0.936500,1.000000,1.000000,4.496895,1.302550,1.000000,1.000000,8.982183,1.691663,1.278743,0.000000,14000.000000,14000.000000,21.000000,0.125751,0.023683,0.083750,1.000000,1.000000,1.176103
0.950000,0.990000,0.100000,0.100000,success_rate,5,0.014000,14000.000000,2000,0.886500,1.000000,1.000000,4.483071,1.287015,1.000000,1.000000,8.949388,1.641547,1.275953,0.000000,14000.000000,14000.000000,20.000000,0.125291,0.022982,0.084676,1.000000,1.000000,1.175578
0.950000,0.990000,0.200000,0.100000,success_rate,5,0.014000,14000.000000,2000,0.917000,1.000000,1.000000,4.481826,1.286169,1.000000,1.000000,8.925251,1.648537,1.276453,0.000000,14000.000000,14000.000000,21.000000,0.124954,0.023080,0.084298,1.000000,1.000000,1.173399
0.950000,0.990000,0.300000,0.100000,success_rate,5,0.014000,14000.000000,2000,0.932000,1.000000,1.000000,4.481826,1.295219,1.000000,1.000000,8.921446,1.673161,1.276453,0.000000,14000.000000,14000.000000,21.000000,0.124900,0.023424,0.083478,1.000000,1.000000,1.171514
0.950000,0.990000,0.300000,0.500000,success_rate,5,0.014000,14000.000000,2000,0.912000,1.000000,1.000000,4.583873,1.325809,1.000000,0.875230,9.111808,1.767274,1.173670,0.000000,14000.000000,12253.220853,9.000000,0.127565,0.024742,0.087115,0.875230,1.000000,1.170431
0.950000,0.990000,0.400000,0.500000,amount,5,0.014000,14000.000000,2000,0.932500,1.000000,1.000000,4.491957,1.342871,1.000000,0.902030,8.977700,1.781093,1.191388,0.000000,14000.000000,12628.422593,11.000000,0.125688,0.024935,0.086568,0.902030,1.000000,1.167542
0.950000,0.990000,0.600000,0.250000,success_rate,5,0.014000,14000.000000,2000,0.945500,1.000000,1.000000,4.656194,1.367447,1.000000,0.826301,9.153077,1.823447,1.241967,0.000000,14000.000000,11568.217910,15.000000,0.128143,0.025528,0.087901,0.826301,1.000000,1.166940
0.950000,0.990000,0.500000,0.100000,success_rate,5,0.014000,14000.000000,2000,0.956000,1.000000,1.000000,4.483071,1.307472,1.000000,0.928853,8.997194,1.706249,1.279400,0.000000,14000.000000,13003.944888,22.000000,0.125961,0.023887,0.083823,0.928853,1.000000,1.163340
0.950000,0.990000,0.500000,0.250000,success_rate,5,0.014000,14000.000000,2000,0.941000,1.000000,1.000000,4.622247,1.351619,1.000000,0.832061,9.104067,1.760006,1.235699,0.000000,14000.000000,11648.849450,14.000000,0.127457,0.024640,0.087132,0.832061,1.000000,1.161213
0.950000,0.990000,0.100000,0.250000,success_rate,5,0.014000,14000.000000,2000,0.861500,1.000000,0.984615,4.620266,1.298038,1.000000,1.000000,9.149321,1.698086,1.224171,0.000000,14000.000000,14000.000000,13.000000,0.128090,0.023773,0.087948,1.000000,1.000000,1.161105
0.950000,0.990000,0.200000,0.250000,amount,1,0.014000,14000.000000,2000,0.916500,1.000000,1.000000,4.551249,1.311543,1.000000,1.000000,9.132752,1.696422,1.310761,0.009488,14000.000000,14000.000000,20.000000,0.127859,0.023750,0.085776,1.000000,0.840501,1.158336
0.950000,0.990000,0.100000,0.500000,success_rate,5,0.014000,14000.000000,2000,0.845500,1.000000,0.984615,4.587873,1.313773,1.000000,1.000000,9.116907,1.734867,1.165733,0.000000,14000.000000,14000.000000,9.000000,0.127637,0.024288,0.087019,1.000000,1.000000,1.157878
