target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,hist_score,mc_score,us_std_score,mc_1970_score,jst_mc_score,jst_cv_score,wgeo3_score
0.950000,0.990000,0.200000,0.050000,success_rate,5,1.642335,1.257923,1.437335,0.896298,1.138288,0.906146,1.136111
0.950000,0.990000,0.300000,0.050000,success_rate,5,1.642335,1.253279,1.434679,0.897490,1.138455,0.915143,1.135970
0.950000,0.990000,0.400000,0.050000,success_rate,5,1.644417,1.251683,1.434674,0.891162,1.138623,0.912897,1.133348
0.950000,0.990000,0.200000,0.100000,success_rate,5,1.617145,1.222798,1.406215,0.882250,1.173399,0.886088,1.133348
0.950000,0.990000,0.100000,0.100000,success_rate,5,1.617145,1.203129,1.394860,0.887489,1.175578,,1.133222
0.950000,0.990000,0.100000,0.050000,success_rate,5,1.642335,1.226992,1.419553,0.896570,1.138374,0.900569,1.131550
0.950000,0.990000,0.300000,0.100000,success_rate,5,1.617145,1.220167,1.404702,0.876582,1.171514,0.877428,1.129904
0.950000,0.990000,0.500000,0.050000,success_rate,5,1.644417,1.246893,1.431926,0.876983,1.130798,0.916965,1.123998
0.950000,0.990000,0.200000,0.250000,success_rate,5,1.595651,1.197254,1.382172,0.849444,1.195425,,1.119626
0.950000,0.990000,0.400000,0.100000,success_rate,5,1.624297,1.221321,1.408470,0.847143,1.176103,0.881685,1.119567
0.950000,0.990000,0.600000,0.050000,success_rate,5,1.640870,1.238576,1.425602,0.870382,1.122814,0.923757,1.116877
0.950000,0.990000,0.200000,0.250000,amount,5,1.583088,1.211347,1.384799,0.868876,1.152791,,1.115231
0.950000,0.990000,0.300000,0.250000,amount,5,1.583088,1.201802,1.379333,0.865561,1.154062,,1.112752
0.950000,0.990000,0.500000,0.100000,success_rate,5,1.624297,1.203758,1.398306,0.842618,1.163340,,1.110827
0.950000,0.990000,0.400000,0.250000,amount,5,1.592548,1.206626,1.386221,0.853378,1.154781,,1.109578
0.950000,0.990000,0.700000,0.050000,success_rate,5,1.636706,1.235187,1.421843,0.864057,1.100198,0.816027,1.105660
0.950000,0.990000,0.600000,0.100000,success_rate,5,1.615904,1.204578,1.395164,0.838826,1.154617,,1.105550
0.950000,0.990000,0.300000,0.100000,amount,1,1.625281,1.244314,1.422097,0.869307,1.087453,0.870076,1.103666
0.950000,0.990000,0.200000,0.100000,amount,1,1.625281,1.244374,1.422131,0.868981,1.086732,0.881905,1.103293
0.950000,0.990000,0.100000,0.250000,amount,5,1.583088,1.190177,1.372645,0.875798,1.116696,,1.103145
0.950000,0.990000,0.100000,0.100000,amount,1,1.625281,1.244248,1.422060,0.868993,1.085193,0.898543,1.102758
0.950000,0.990000,0.200000,0.500000,amount,5,1.571323,1.167511,1.354451,0.834901,1.185621,,1.102676
0.950000,0.990000,0.100000,0.250000,success_rate,5,1.595651,1.172707,1.367929,0.840045,1.161105,,1.100895
0.950000,0.990000,0.400000,0.100000,amount,1,1.625281,1.234376,1.416407,0.859905,1.088748,0.880425,1.098640
0.950000,0.990000,0.300000,0.250000,success_rate,5,1.595651,1.198347,1.382803,0.791793,1.197317,,1.094444
0.950000,0.990000,0.500000,0.100000,amount,1,1.625281,1.225202,1.411134,0.859380,1.080886,0.870272,1.094404
0.950000,0.990000,0.500000,0.250000,amount,5,1.595502,1.206745,1.387575,0.829856,1.122241,,1.089219
0.950000,0.990000,0.600000,0.100000,amount,1,1.615934,1.228299,1.408847,0.849324,1.076002,0.865489,1.087886
0.950000,0.990000,0.100000,0.500000,amount,5,1.571323,1.140159,1.338491,0.835657,1.149194,,1.087290
0.950000,0.990000,0.300000,0.100000,amount,5,1.599647,1.228255,1.401704,0.865712,1.058535,0.858203,1.087039
0.950000,0.990000,0.100000,0.100000,amount,5,1.599647,1.228395,1.401784,0.865185,1.058544,0.884211,1.086842
0.950000,0.990000,0.200000,0.100000,amount,5,1.599647,1.228600,1.401901,0.865098,1.058185,0.867356,1.086713
0.950000,0.990000,0.700000,0.100000,success_rate,5,1.586885,1.198851,1.379289,0.832638,1.117394,,1.086691
0.950000,0.990000,0.400000,0.250000,success_rate,5,1.607845,1.168492,1.370677,0.783101,1.181578,,1.082443
0.950000,0.990000,0.400000,0.100000,amount,5,1.599647,1.217708,1.395673,0.856043,1.058599,,1.081443
0.950000,0.990000,0.100000,0.500000,success_rate,5,1.581632,1.116058,1.328606,0.815237,1.157878,,1.078403
0.950000,0.990000,0.500000,0.100000,amount,5,1.599647,1.210096,1.391304,0.855760,1.048321,,1.076687
0.950000,0.990000,0.700000,0.100000,amount,1,1.607645,1.222577,1.401952,0.836479,1.060672,0.860826,1.075449
0.950000,0.990000,0.600000,0.250000,amount,5,1.583200,1.178812,1.366125,0.809075,1.125135,,1.075378
0.950000,0.990000,0.500000,0.250000,success_rate,5,1.608152,1.155651,1.363254,0.784976,1.161213,,1.075099
0.950000,0.990000,0.600000,0.100000,amount,5,1.590299,1.211666,1.388132,0.847424,1.043364,,1.070671
0.950000,0.990000,0.400000,0.250000,amount,1,1.566368,1.159976,1.347942,0.785116,1.153753,,1.068823
0.950000,0.990000,0.600000,0.250000,success_rate,5,1.533763,1.155662,1.331357,0.782737,1.166940,,1.067381
0.950000,0.990000,0.200000,0.250000,amount,1,1.556722,1.160392,1.344026,0.779226,1.158336,,1.066519
0.950000,0.990000,0.300000,0.250000,amount,1,1.556722,1.152057,1.339191,0.782223,1.155736,,1.065803
0.950000,0.990000,0.300000,0.500000,amount,5,1.571323,1.167725,1.354575,0.748115,1.186202,,1.063269
0.950000,0.990000,0.700000,0.100000,amount,5,1.581987,1.207497,1.382116,0.842004,1.026261,,1.060976
0.950000,0.990000,0.100000,0.750000,amount,5,1.551444,1.086545,1.298350,0.799596,1.144886,,1.059274
