withdrawal_rate,JST-ALL-GDP√_success,JST-ALL-GDP√_funded,JST-USA_success,JST-USA_funded,FIRE-1970-高费_success,FIRE-1970-高费_funded,FIRE-1970-低费_success,FIRE-1970-低费_funded,FIRE-ALL-US_success,FIRE-ALL-US_funded
0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.001000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.002000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.003000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.004000,0.999800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.005000,0.999800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.006000,0.999800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.007000,0.999600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.008000,0.999200,1.000000,0.999800,1.000000,0.999800,1.000000,1.000000,1.000000,0.999800,1.000000
0.009000,0.998400,1.000000,0.999800,1.000000,0.999800,1.000000,1.000000,1.000000,0.999400,1.000000
0.010000,0.998000,1.000000,0.999800,1.000000,0.999600,1.000000,0.999800,1.000000,0.999000,1.000000
0.011000,0.997200,1.000000,0.999400,1.000000,0.999400,1.000000,0.999800,1.000000,0.998400,1.000000
0.012000,0.996400,1.000000,0.999200,1.000000,0.999400,1.000000,0.999800,1.000000,0.996600,1.000000
0.013000,0.995800,1.000000,0.999000,1.000000,0.999000,1.000000,0.999400,1.000000,0.995000,1.000000
0.014000,0.994000,1.000000,0.998000,1.000000,0.998600,1.000000,0.999400,1.000000,0.992400,1.000000
0.015000,0.992200,1.000000,0.997200,1.000000,0.998200,1.000000,0.999400,1.000000,0.989400,1.000000
0.016000,0.990200,1.000000,0.995400,1.000000,0.996400,1.000000,0.999000,1.000000,0.985400,1.000000
0.017000,0.987400,1.000000,0.994600,1.000000,0.994400,1.000000,0.998800,1.000000,0.982000,1.000000
0.018000,0.983400,1.000000,0.993200,1.000000,0.989800,1.000000,0.998400,1.000000,0.976000,1.000000
