Year,US Stock,International Stock,US Bond,US Inflation
1871,0.152924128,0.152924128,0.025110864,0.0152704
1872,0.109037886,0.109037886,0.015556203,0.0225546
1873,-0.027290927,-0.027290927,0.040038254,-0.0441205
1874,0.044044467,0.044044467,0.134364561,-0.0692256
1875,0.050638883,0.050638883,0.062252381,-0.057856
1876,-0.144282453,-0.144282453,0.069293986,0.0087738
1877,-0.016123729,-0.016123729,0.033968722,-0.1565246
1878,0.159147856,0.159147856,0.061794741,-0.1030882
1879,0.490129312,0.490129312,0.026892824,0.2068999
1880,0.263670887,0.263670887,0.050204877,-0.0571463
1881,0.00039013,0.00039013,0.032394368,0.0808076
1882,0.033029212,0.033029212,0.028316006,-0.0186875
1883,-0.057562413,-0.057562413,0.040501675,-0.0761978
1884,-0.126344965,-0.126344965,0.036821479,-0.1030882
1885,0.295324726,0.295324726,0.050757014,-0.034484
1886,0.116155334,0.116155334,0.005173716,0
1887,-0.008969093,-0.008969093,0.012074445,0.0476228
1888,0.029960419,0.029960419,0.052563695,-0.045458
1889,0.06751655,0.06751655,0.022564049,-0.0476188
1890,-0.064390927,-0.064390927,0.010027031,0.0249998
1891,0.185247059,0.185247059,0.051535223,-0.0609757
1892,0.058548156,0.058548156,0.018615331,0.0779227
1893,-0.190229113,-0.190229113,0.04482498,-0.1325308
1894,0.032425623,0.032425623,0.058288123,-0.0416658
1895,0.046625922,0.046625922,-0.002023175,0.014492
1896,0.029165404,0.029165404,0.038158266,-0.0285713
1897,0.200096909,0.200096909,0.055753994,0.0294116
1898,0.28979681,0.28979681,0.04400562,0.0142862
1899,0.033819741,0.033819741,-0.006303532,0.1690142
1900,0.206088335,0.206088335,0.035978534,-0.0240973
1901,0.191205783,0.191205783,0.01591571,0.0246923
1902,0.079683848,0.079683848,0.007066034,0.0963859
1903,-0.173201795,-0.173201795,0.019553752,-0.0439557
1904,0.316991625,0.316991625,0.055586538,0.0229834
1905,0.209597009,0.209597009,0.004124602,0
1906,0.003957827,0.003957827,0.004824307,0.0449437
1907,-0.244039581,-0.244039581,-0.005708238,-0.0215008
1908,0.389973679,0.389973679,0.111409162,0.0329645
1909,0.158417149,0.158417149,0.011838045,0.106387
1910,-0.036535095,-0.036535095,0.039158805,-0.0673133
1911,0.032105085,0.032105085,0.038186401,-0.0103027
1912,0.068637089,0.068637089,0.013280981,0.0729138
1913,-0.050179561,-0.050179561,0.03626295,0.0204082
1914,-0.057287438,-0.057287438,0.062205499,0.01
1915,0.308321436,0.308321436,0.059903072,0.029703
1916,0.079149252,0.079149252,0.033979079,0.125
1917,-0.187764806,-0.187764806,-0.019286996,0.1965812
1918,0.177158325,0.177158325,0.043889018,0.1785714
1919,0.19268006,0.19268006,0.019929822,0.169697
1920,-0.142229711,-0.142229711,-0.00044793,-0.015544
1921,0.097497707,0.097497707,0.12899264,-0.1105263
1922,0.287514955,0.287514955,0.052426821,-0.0059172
1923,0.051519541,0.051519541,0.034800941,0.0297619
1924,0.267460618,0.267460618,0.07570938,0
1925,0.255068794,0.255068794,0.02918949,0.0346821
1926,0.112424227,0.112424227,0.044337102,-0.0223464
1927,0.32984073,0.32984073,0.050277538,-0.0114286
1928,0.383330147,0.383330147,-0.011562883,-0.0115607
1929,-0.115301705,-0.115301705,0.039984946,0
1930,-0.285309012,-0.285309012,0.074695028,-0.0701754
1931,-0.44263263,-0.44263263,-0.023241545,-0.1006289
1932,-0.088926547,-0.088926547,0.119817571,-0.0979021
1933,0.567855671,0.567855671,0.027331581,0.0232558
1934,0.020384472,0.020384472,0.06999923,0.030303
1935,0.459240243,0.459240243,0.036198072,0.0147059
1936,0.332912116,0.332912116,0.042879398,0.0217391
1937,-0.350211696,-0.350211696,0.016405146,0.0285714
1938,0.280616543,0.280616543,0.040750423,-0.0277778
1939,0.020796445,0.020796445,0.028558807,0
1940,-0.07414595,-0.07414595,0.040379167,0.0071429
1941,-0.10347503,-0.10347503,0.020054748,0.0992908
1942,0.164053695,0.164053695,0.010875795,0.0903226
1943,0.275683402,0.275683402,0.021881105,0.0295858
1944,0.208573094,0.208573094,0.020075855,0.0229885
1945,0.378419552,0.378419552,0.047951659,0.0224719
1946,-0.06523289,-0.06523289,0.004065788,0.1813187
1947,0.035022348,0.035022348,-0.007550152,0.0883721
1948,0.020125144,0.020125144,0.02298084,0.0299145
1949,0.195628791,0.195628791,0.040338038,-0.0207469
1950,0.299527642,0.299527642,-0.004683912,0.059322
1951,0.204341931,0.204341931,-0.002267741,0.06
1952,0.133591793,0.133591793,0.01901211,0.0075472
1953,0.004253126,0.004253126,0.033401064,0.0074906
1954,0.502544566,0.502544566,0.025218633,-0.0074349
1955,0.255200524,0.255200524,-0.010875817,0.0037453
1956,0.0832589,0.0832589,-0.018243122,0.0298507
1957,-0.100792064,-0.100792064,0.082742627,0.0289855
1958,0.445817703,0.445817703,-0.030825194,0.0176056
1959,0.126224231,0.126224231,-0.019583308,0.017301
1960,0.007706314,0.007706314,0.127166043,0.0136054
1961,0.267597316,0.267597316,0.010289045,0.0067114
1962,-0.097660411,-0.097660411,0.054192666,0.0133333
1963,0.210044059,0.210044059,0.014097253,0.0164474
1964,0.162647396,0.162647396,0.035921206,0.0097087
1965,0.14036374,0.14036374,0.004906892,0.0192308
1966,-0.088646647,-0.088646647,0.047191865,0.0345912
1967,0.271782276,0.271782276,-0.007483815,0.0303951
1968,0.132107242,0.132107242,0.026624886,0.0471976
1969,-0.104033501,-0.104033501,-0.023322426,0.0619718
1970,0.045894443,-0.147814789,0.169584526,0.0557029
1971,0.174099571,0.311374502,0.092815393,0.0326633
1972,0.177093884,0.384225518,0.029268474,0.0340633
1973,-0.187107841,-0.118208379,0.020249377,0.0870588
1974,-0.286165072,-0.200111465,-0.001632513,0.1233766
1975,0.380447114,0.302877486,0.119404705,0.0693642
1976,0.260955573,0.016786864,0.152427475,0.0486486
1977,-0.030732703,0.153291758,0.027179045,0.0670103
1978,0.088828318,0.306279495,0.010702452,0.0901771
1979,0.251865204,0.088219493,0.016041567,0.1329394
1980,0.332035974,0.227288966,0.023979262,0.125163
1981,-0.041523302,-0.04498212,0.059201675,0.0892236
1982,0.182490886,-0.01931568,0.322244865,0.0382979
1983,0.231211707,0.231836268,0.080340279,0.0379098
1984,0.027697118,0.024145344,0.148027119,0.0394867
1985,0.321943259,0.49999065,0.217375374,0.0379867
1986,0.157708018,0.644426738,0.149199701,0.010979
1987,0.02009246,0.236077007,0.0153559,0.0443439
1988,0.176826582,0.267918572,0.0735276,0.0441941
1989,0.289031135,0.110744163,0.1364394,0.046473
1990,-0.063869387,-0.234041043,0.0865018,0.0610626
1991,0.339365369,0.130201623,0.1524602,0.0306428
1992,0.087391677,-0.116960261,0.0714183,0.0290065
1993,0.106244,0.33805497,0.0968203,0.0274841
1994,-0.0016865,0.057643158,-0.0265644,0.026749
1995,0.3578527,0.090086741,0.1818134,0.0253841
1996,0.2096205,0.058509933,0.035822,0.0332248
1997,0.3099432,-0.0077466,0.094434,0.017024
1998,0.2326424,0.1560285,0.0858163,0.016119
1999,0.2381311,0.299192,-0.0075918,0.0268456
2000,-0.1056507,-0.1561417,0.1139151,0.0338681
2001,-0.1088816,-0.2015306,0.0843284,0.0155172
2002,-0.2095179,-0.1508272,0.0831839,0.0237691
2003,0.3141752,0.4033932,0.0404087,0.0187949
2004,0.1261129,0.2083683,0.0433118,0.0325556
2005,0.0608567,0.1557109,0.0248717,0.0341566
2006,0.1562726,0.2663693,0.0436379,0.0254065
2007,0.0556858,0.1552229,0.0701681,0.0408127
2008,-0.3698823,-0.4410081,0.0514851,0.0009141
2009,0.2882522,0.3672665,0.0603982,0.0272133
2010,0.1725583,0.110394,0.0653829,0.0149572
2011,0.0108229,-0.145244,0.0768517,0.0296242
2012,0.163836,0.1820919,0.0415121,0.0174102
2013,0.3352415,0.151427,-0.0214534,0.0150174
2014,0.1255764,-0.0417397,0.058944,0.0075649
2015,0.00387646,-0.04259055,0.00398844,0.0072952
2016,0.12664201,0.04673254,0.02595759,0.0207462
2017,0.21169281,0.27553763,0.03557857,0.0210908
2018,-0.05171101,-0.14432899,-0.0002732,0.0191016
2019,0.3080497,0.2150796,0.0871401,0.0228513
2020,0.209879,0.1127914,0.0771915,0.0136201
2021,0.257123,0.0862495,-0.0166706,0.070364
2022,-0.1952516,-0.1600881,-0.1316181,0.0645
2023,0.2600822,0.1547956,0.0570276,0.0335212
2024,0.2374333,0.0517508,0.0123764,0.0288806
2025,0.1744,0.3209,0.073,0.027
