Year,Mom
1927,0.21264062054631516
1928,0.21307650032518421
1929,0.32755196161769295
1930,0.3401677949478914
1931,0.21343675626915282
1932,-0.6453096515571235
1933,0.02018548502278361
1934,0.14469493443957337
1935,0.0784941706697424
1936,0.055923318784822706
1937,-0.05545599202147666
1938,-0.22601278344593456
1939,-0.13887122437403865
1940,0.04366101256725741
1941,0.10736479380095387
1942,-0.13425634397994035
1943,0.11927108937280928
1944,0.07375463770955015
1945,0.12545055803369043
1946,0.0723855252218939
1947,0.13899295575674353
1948,0.12959314953066547
1949,-0.002737187975650812
1950,0.12440199001866792
1951,0.10392179899713727
1952,0.0876942775510623
1953,0.1765494967640755
1954,0.0649155979090128
1955,0.124094542798445
1956,0.1983311872629716
1957,0.11229670598336505
1958,-0.0726853612223457
1959,0.18586448883068374
1960,0.1908680828504039
1961,0.08398510969518491
1962,0.11901436117622022
1963,0.09953118521909743
1964,0.04005032891960392
1965,0.1761651395017838
1966,0.115685927563421
1967,0.1330279279251383
1968,0.026889917911128824
1969,0.1335999696393695
1970,-0.0716529605603966
1971,0.01734594283725266
1972,0.1347402998496139
1973,0.425108898920425
1974,0.09131011581302628
1975,-0.1554019710318587
1976,0.06430427560783714
1977,0.18599493418940471
1978,0.12802489270887696
1979,0.2171287561775903
1980,0.31322051090029723
1981,-0.08386082407745887
1982,0.30471005784720573
1983,-0.07540542647993953
1984,0.09125114674536694
1985,0.10893425494059517
1986,0.10048326889674608
1987,-0.005714976588272136
1988,-0.05475777010347971
1989,0.25342833005396037
1990,0.2288274798797041
1991,0.09027285593800771
1992,0.0236407123115292
1993,0.2245618421537945
1994,0.033730993802064235
1995,0.14531505798722044
1996,0.05353091588543668
1997,0.09015128596540345
1998,0.2179017426822487
1999,0.2840184748602803
2000,0.16135661492280406
2001,-0.1034253199823999
2002,0.28131416507952034
2003,-0.17778341954909127
2004,-0.0019025469235192105
2005,0.148596473989546
2006,-0.0640564478821476
2007,0.23277752268967222
2008,0.1915437180302504
2009,-0.5289925632859523
2010,0.06289469561525807
2011,0.0823784017632394
2012,-0.014633540741409767
2013,0.05206461761577197
2014,0.007790315288968674
2015,0.20760883109327355
2016,-0.18003499555479796
2017,0.03632757239267015
2018,0.10850716171727792
2019,-0.05709566021007262
2020,-0.008231777529981499
2021,-0.029828900117105595
2022,0.20458263962037382
2023,-0.20560345332831886
2024,0.1627982893653328
2025,-0.02232681381286783
