Year,Mom
1927,0.2266596227104236
1928,0.22726453746343767
1929,0.32755196161769295
1930,0.4413124743611767
1931,0.3492058575922139
1932,-0.6068161244551433
1933,-0.003000535132287041
1934,0.11102746904509986
1935,0.06286380188559293
1936,0.033456895977478585
1937,-0.08169330006791609
1938,-0.20389884477636344
1939,-0.13887122437403865
1940,0.036259117318165446
1941,0.007344729712059683
1942,-0.2059747674495056
1943,0.08710812578496063
1944,0.04962532590498325
1945,0.10071539182024503
1946,-0.09221319765623459
1947,0.046510615033905855
1948,0.09678342185750899
1949,0.018391273945774778
1950,0.061435512543558835
1951,0.041435659431261485
1952,0.07954672252680783
1953,0.16780195940694198
1954,0.07289244595544697
1955,0.1199001806518496
1956,0.163597002228548
1957,0.08096441201879423
1958,-0.08872883681295163
1959,0.16569676902970087
1960,0.17488332525695283
1961,0.0767585523469636
1962,0.10429052432819508
1963,0.08173938486054211
1964,0.030049883614555295
1965,0.15397330957991429
1966,0.07838335331232371
1967,0.09960531443243315
1968,-0.019392407019335423
1969,0.06744827841885215
1970,-0.12063608100384737
1971,-0.014832866785086107
1972,0.0973605772969739
1973,0.3109768293310582
1974,-0.028544732182398835
1975,-0.21018673622313033
1976,0.014929382071207753
1977,0.11151217020998283
1978,0.0347171048711965
1979,0.0743105555139052
1980,0.16713801547002283
1981,-0.15890623750482347
1982,0.2565854730585564
1983,-0.10917637205076924
1984,0.049798084713702284
1985,0.06835112139740818
1986,0.08853227307070277
1987,-0.04793332597458766
1988,-0.09476386631899147
1989,0.19776461509657706
1990,0.15811025652935462
1991,0.05785715083635923
1992,-0.005214532355695245
1993,0.19180612347557946
1994,0.006800097981166209
1995,0.11696198330676344
1996,0.019653144103235487
1997,0.07190320579003395
1998,0.19858180260604197
1999,0.25044941017449984
2000,0.12331216614847107
2001,-0.11712506689438629
2002,0.2515655777064578
2003,-0.19295180958315683
2004,-0.03337171085365209
2005,0.11066010117766112
2006,-0.08724632414768918
2007,0.18443743306521165
2008,0.19045552263700793
2009,-0.5414706597801571
2010,0.04723105133424155
2011,0.05123636542656973
2012,-0.031495399536401125
2013,0.036499096090147676
2014,0.00022372284799598852
2015,0.1988628865632176
2016,-0.19670040951883827
2017,0.014922054329223222
2018,0.08772978250380326
2019,-0.07816088243723451
2020,-0.021558251982159327
2021,-0.0936063807425378
2022,0.13159477653393492
2023,-0.23136889047686582
2024,0.13015863003475125
2025,-0.04803000371262678
