Year,small_growth,small_neutral,small_value,large_growth,large_neutral,large_value,us_inflation
1991,0.231058,0.188953,0.196075,0.233432,0.14932,0.147899,0.030643
1992,-0.097472,-0.046256,0.012331,-0.070074,-0.063793,-0.043367,0.029006
1993,0.234972,0.290618,0.408725,0.119126,0.243372,0.299943,0.027484
1994,0.010674,0.055498,0.103312,0.040796,0.061014,0.091185,0.026749
1995,0.188398,0.163714,0.141754,0.208616,0.184059,0.166307,0.025384
1996,0.057955,0.117229,0.146689,0.092109,0.143741,0.159985,0.033225
1997,-0.079671,-0.012838,0.029358,0.142315,0.162321,0.161397,0.017024
1998,0.046947,-0.004389,0.057825,0.313753,0.149769,0.143292,0.016119
1999,0.589156,0.290886,0.225438,0.377392,0.228644,0.134444,0.026846
2000,-0.361802,-0.092497,0.064702,-0.274601,-0.009706,0.067592,0.033868
2001,-0.282301,-0.073783,0.01587,-0.221373,-0.14159,-0.097519,0.015517
2002,-0.270818,-0.121784,0.005394,-0.225448,-0.132715,-0.169762,0.023769
2003,0.558596,0.542863,0.628042,0.274672,0.39157,0.43909,0.018795
2004,0.220427,0.265517,0.307936,0.111105,0.182633,0.226435,0.032556
2005,0.128818,0.172693,0.221767,0.084089,0.117822,0.143481,0.034157
2006,0.10451,0.209773,0.199391,0.140158,0.234513,0.266664,0.025406
2007,0.006962,0.034613,0.040434,0.158006,0.114363,0.047198,0.040813
2008,-0.4904,-0.428311,-0.367544,-0.373603,-0.397938,-0.449692,0.000914
2009,0.459679,0.398419,0.366999,0.308282,0.307011,0.315576,0.027213
2010,0.255246,0.25959,0.220863,0.155066,0.127902,0.088073,0.014957
2011,-0.129628,-0.130334,-0.108898,-0.018711,-0.045018,-0.134132,0.029624
2012,0.12312,0.155095,0.178263,0.164765,0.140671,0.235662,0.01741
2013,0.306259,0.291347,0.306299,0.278443,0.265305,0.320627,0.015017
2014,-0.029977,-0.006723,-0.028861,0.054114,0.054784,-0.00402,0.007565
2015,0.061574,0.045093,-0.020123,0.045216,-0.00563,-0.064013,0.007295
2016,0.019036,0.10374,0.20327,0.022119,0.080586,0.137356,0.020746
2017,0.292766,0.268782,0.235783,0.290946,0.227331,0.202139,0.021091
2018,-0.134326,-0.156186,-0.175228,-0.04053,-0.089432,-0.147733,0.019102
2019,0.247359,0.207142,0.169886,0.358861,0.247807,0.196053,0.022851
2020,0.370997,0.18064,0.040374,0.352565,0.139548,-0.062734,0.01362
2021,0.005983,0.10882,0.214077,0.204274,0.17421,0.252447,0.070364
2022,-0.313886,-0.219671,-0.080665,-0.286789,-0.130272,-0.020481,0.0645
2023,0.051833,0.125576,0.161777,0.371859,0.142455,0.137609,0.033521
2024,0.014776,0.032243,0.065134,0.220145,0.149165,0.138753,0.028881
2025,0.177283,0.242294,0.305705,0.18176,0.18773,0.351385,0.027
