Year,mkt,small_value,small_neutral,small_growth,large_value,large_neutral,large_growth,size_smallest_decile,size_small_quintile,size_biggest_decile,us_inflation
1927,0.325837,0.349748,0.263876,0.309146,0.311517,0.233552,0.44375,0.3118,0.328627,0.341402,-0.011429
1928,0.390786,0.414625,0.408591,0.395401,0.335405,0.311412,0.459858,0.621223,0.486311,0.378234,-0.011561
1929,-0.148523,-0.369488,-0.32438,-0.451676,-0.035266,0.000344,-0.190256,-0.460738,-0.475827,-0.093593,0.0
1930,-0.28726,-0.449134,-0.313477,-0.388534,-0.435087,-0.289664,-0.260551,-0.483528,-0.495774,-0.238477,-0.070175
1931,-0.437634,-0.52367,-0.460061,-0.443864,-0.55421,-0.605202,-0.360231,-0.436111,-0.521682,-0.416429,-0.100629
1932,-0.086586,0.096287,-0.119566,-0.103458,-0.033811,-0.174778,-0.068934,0.286247,0.054584,-0.108406,-0.097902
1933,0.567957,1.291486,1.145969,1.429077,1.200566,0.890374,0.437296,1.465916,1.715865,0.459112,0.023256
1934,0.032638,0.103773,0.173883,0.38015,-0.181022,-0.021202,0.08552,0.230704,0.301652,0.01375,0.030303
1935,0.450047,0.55474,0.757362,0.410668,0.493578,0.475648,0.435409,0.549356,0.698385,0.433027,0.014706
1936,0.321533,0.829051,0.476973,0.338929,0.463995,0.377239,0.262681,0.964281,0.76175,0.304977,0.021739
1937,-0.347289,-0.503658,-0.491814,-0.497726,-0.414252,-0.309261,-0.345487,-0.53943,-0.536145,-0.316724,0.028571
1938,0.281678,0.254052,0.418977,0.435399,0.283036,0.20834,0.337207,0.051805,0.167627,0.251959,-0.027778
1939,0.025055,-0.06826,0.040347,0.114024,-0.124036,-0.043563,0.076808,-0.048611,-0.047711,0.053461,0.0
1940,-0.072066,-0.102574,-0.023858,-0.032721,-0.0461,-0.033403,-0.101726,-0.328779,-0.147729,-0.071602,0.007143
1941,-0.105502,-0.032233,-0.143748,-0.154428,-0.038512,-0.036521,-0.14016,-0.067356,-0.121157,-0.112944,0.099291
1942,0.164938,0.365624,0.259192,0.170366,0.341197,0.160899,0.142717,0.630313,0.385268,0.139089,0.090323
1943,0.2832,1.003118,0.535887,0.434007,0.413429,0.341119,0.208572,1.430397,1.109508,0.230328,0.029586
1944,0.213448,0.485783,0.43154,0.405925,0.401591,0.221379,0.156631,0.711477,0.6195,0.168223,0.022988
1945,0.387357,0.696678,0.639534,0.649646,0.500746,0.382898,0.323858,0.943899,0.801861,0.30242,0.022472
1946,-0.063961,-0.081392,-0.086792,-0.123105,-0.075584,-0.01151,-0.09543,-0.137389,-0.128466,-0.051776,0.181319
1947,0.034338,0.059838,-0.025148,-0.081569,0.086241,0.042972,0.033219,-0.017278,-0.013046,0.055935,0.088372
1948,0.018552,-0.025125,-0.073109,-0.083624,0.046726,0.01565,0.032297,0.0001,-0.059605,0.030742,0.029914
1949,0.201987,0.215019,0.226221,0.243765,0.17847,0.158222,0.233886,0.275907,0.212506,0.186886,-0.020747
1950,0.300668,0.512174,0.317819,0.307617,0.569626,0.312126,0.232931,0.528269,0.464025,0.291465,0.059322
1951,0.206945,0.114473,0.147397,0.171192,0.13843,0.248369,0.204004,0.038664,0.064066,0.219115,0.06
1952,0.134749,0.084953,0.096063,0.078275,0.194153,0.137521,0.13026,0.010265,0.050214,0.143945,0.007547
1953,0.007186,-0.064953,-0.011121,-0.000203,-0.06578,0.000756,0.02374,-0.059745,-0.057859,0.010386,0.007491
1954,0.503056,0.648148,0.603025,0.424772,0.775725,0.490572,0.475534,0.649615,0.63675,0.487136,-0.007435
1955,0.253556,0.240434,0.203154,0.145048,0.294413,0.198165,0.286868,0.267237,0.239795,0.287273,0.003745
1956,0.083375,0.06408,0.073576,0.067522,0.032036,0.128247,0.071212,-0.00892,0.054185,0.080799,0.029851
1957,-0.100041,-0.160052,-0.147664,-0.173563,-0.225701,-0.088933,-0.087217,-0.15177,-0.145436,-0.092231,0.028986
1958,0.44981,0.705803,0.575185,0.760832,0.737526,0.454926,0.413409,0.68801,0.652136,0.408064,0.017606
1959,0.127607,0.180018,0.200327,0.199614,0.185019,0.106271,0.129746,0.126924,0.215547,0.125426,0.017301
1960,0.01201,-0.058164,-0.01659,-0.029321,-0.080356,0.094406,-0.025823,-0.035622,-0.049007,-0.0007,0.013605
1961,0.269388,0.317115,0.301065,0.238167,0.291909,0.270405,0.262502,0.294525,0.291644,0.265,0.006711
1962,-0.10187,-0.09137,-0.157544,-0.190004,-0.033587,-0.055023,-0.109203,-0.09793,-0.114961,-0.089607,0.013333
1963,0.209587,0.280542,0.175689,0.080135,0.325597,0.172532,0.21893,0.19645,0.181878,0.224407,0.016447
1964,0.160734,0.23654,0.181892,0.082491,0.186468,0.20552,0.144059,0.232465,0.192918,0.160139,0.009709
1965,0.144353,0.419377,0.335396,0.353323,0.217235,0.100815,0.134875,0.452285,0.396552,0.086685,0.019231
1966,-0.088061,-0.073199,-0.060487,-0.058505,-0.109495,-0.056245,-0.107603,-0.094666,-0.066543,-0.110677,0.034591
1967,0.286957,0.677102,0.713529,0.882885,0.335176,0.154232,0.290525,1.158374,1.037625,0.218482,0.030395
1968,0.141351,0.462361,0.404028,0.328307,0.26908,0.159552,0.038545,0.606618,0.504673,0.075855,0.047198
1969,-0.109542,-0.251222,-0.232942,-0.244015,-0.166783,-0.169615,0.026887,-0.329525,-0.317138,-0.056909,0.061972
1970,0.000899,0.069061,-0.092139,-0.201011,0.103619,0.081612,-0.055365,-0.187751,-0.174447,0.025669,0.055703
1971,0.161628,0.144071,0.208499,0.265546,0.145422,0.059428,0.242576,0.159663,0.172917,0.143653,0.032663
1972,0.169161,0.067351,0.072174,-0.00029,0.176957,0.111592,0.215426,0.001625,0.001531,0.219493,0.034063
1973,-0.19312,-0.274229,-0.328777,-0.447677,-0.041351,-0.090591,-0.217984,-0.388107,-0.385837,-0.132962,0.087059
1974,-0.278049,-0.190486,-0.262149,-0.322721,-0.232911,-0.229579,-0.293649,-0.268998,-0.273801,-0.279662,0.123377
1975,0.383288,0.585643,0.574296,0.611746,0.557902,0.419595,0.344541,0.59669,0.599018,0.331858,0.069364
1976,0.269803,0.604978,0.469725,0.383604,0.43736,0.407639,0.173593,0.48642,0.4884,0.204628,0.048649
1977,-0.031175,0.222612,0.185633,0.185569,0.017152,-0.009166,-0.096301,0.302853,0.271004,-0.092695,0.06701
1978,0.082459,0.220334,0.206885,0.177152,0.036923,0.068852,0.06971,0.288888,0.248177,0.061175,0.090177
1979,0.234666,0.385446,0.371711,0.493631,0.225341,0.235037,0.164558,0.416767,0.409922,0.146743,0.132939
1980,0.332522,0.225069,0.298124,0.522787,0.165103,0.372197,0.349948,0.419335,0.400489,0.331381,0.125163
1981,-0.032595,0.171404,0.133125,-0.108852,0.142363,-0.07332,-0.074997,-0.042753,-0.01931,-0.076242,0.089224
1982,0.214554,0.396363,0.332433,0.189965,0.275401,0.1754,0.222082,0.268387,0.272997,0.19338,0.038298
1983,0.225508,0.480987,0.405862,0.20047,0.272482,0.252075,0.144518,0.348844,0.342416,0.202333,0.03791
1984,0.038505,0.078258,0.022103,-0.134878,0.159773,0.057708,-0.007152,-0.145017,-0.103664,0.085765,0.039487
1985,0.326239,0.321615,0.352601,0.29046,0.314909,0.322375,0.326334,0.245127,0.288737,0.323195,0.037987
1986,0.164175,0.148178,0.100695,0.025966,0.215376,0.199571,0.146672,0.020803,0.035812,0.184738,0.010979
1987,0.016448,-0.063803,-0.041415,-0.134431,-0.020185,0.029397,0.075667,-0.140022,-0.141652,0.050642,0.044344
1988,0.179927,0.301241,0.283315,0.146078,0.257384,0.191165,0.117448,0.17158,0.187138,0.163806,0.044194
1989,0.288574,0.165638,0.175966,0.190719,0.297872,0.254665,0.360701,0.069572,0.088148,0.328685,0.046473
1990,-0.06024,-0.24172,-0.172107,-0.18539,-0.137383,-0.052956,0.008487,-0.277647,-0.272935,-0.005571,0.061063
1991,0.348164,0.406346,0.461105,0.543262,0.273973,0.224706,0.429853,0.460726,0.493566,0.298573,0.030643
1992,0.097792,0.358149,0.223516,0.049041,0.240392,0.097584,0.062641,0.253412,0.211865,0.053129,0.029006
1993,0.111602,0.261516,0.214125,0.102853,0.19534,0.174219,0.012966,0.255551,0.190302,0.071793,0.027484
1994,-0.001482,0.014013,6e-06,-0.070592,-0.085668,0.028679,0.014116,-0.047714,-0.051591,0.020609,0.026749
1995,0.368518,0.33464,0.256343,0.309809,0.458486,0.368413,0.369298,0.32113,0.33731,0.397077,0.025384
1996,0.212068,0.251452,0.203086,0.090575,0.230019,0.23782,0.216847,0.147812,0.165927,0.244744,0.033225
1997,0.312471,0.396136,0.299835,0.083609,0.372161,0.321928,0.319496,0.220731,0.237557,0.350092,0.017024
1998,0.242607,-0.039063,-0.034746,-0.020938,0.187135,0.081929,0.384417,-0.134829,-0.075511,0.356012,0.016119
1999,0.252424,0.087188,0.262271,0.453666,0.059915,0.063416,0.265709,0.377025,0.396917,0.22085,0.026846
2000,-0.115921,0.240802,0.150218,-0.228081,0.30692,0.115106,-0.129736,-0.091571,-0.058483,-0.133695,0.033868
2001,-0.112014,0.234277,0.159844,-0.010271,-0.007496,0.000927,-0.143689,0.321502,0.286816,-0.145862,0.015517
2002,-0.211388,-0.090492,-0.124402,-0.325882,-0.291905,-0.136808,-0.231412,-0.036129,-0.117565,-0.22813,0.023769
2003,0.316929,0.640453,0.483111,0.551153,0.276279,0.338441,0.270426,0.912523,0.753772,0.255336,0.018795
2004,0.119315,0.186214,0.210607,0.154187,0.203347,0.135048,0.082628,0.172872,0.147034,0.075619,0.032556
2005,0.061008,0.092136,0.086179,0.001696,0.142981,0.064183,0.046292,0.037768,0.03178,0.033866,0.034157
2006,0.153984,0.216796,0.218005,0.087881,0.216817,0.190733,0.111501,0.183915,0.174513,0.158562,0.025406
2007,0.057379,-0.136257,-0.014032,0.060298,-0.014206,0.021407,0.127701,-0.091139,-0.085214,0.066006,0.040813
2008,-0.366561,-0.33795,-0.307899,-0.40574,-0.382346,-0.403713,-0.33945,-0.446878,-0.403434,-0.352229,0.000914
2009,0.286279,0.310101,0.338869,0.360475,0.188862,0.249788,0.302953,0.469541,0.374042,0.238509,0.027213
2010,0.174119,0.261934,0.298751,0.290782,0.07267,0.21191,0.150831,0.277257,0.289564,0.124218,0.014957
2011,0.00501,-0.077196,-0.048318,-0.057971,-0.103869,0.048583,0.04321,-0.14029,-0.114878,0.028976,0.029624
2012,0.163476,0.214442,0.172164,0.14855,0.285291,0.133561,0.152976,0.189707,0.171661,0.161592,0.01741
2013,0.35153,0.428047,0.420188,0.444599,0.398786,0.333321,0.331498,0.502955,0.472851,0.325466,0.015017
2014,0.11742,0.037643,0.050191,0.044732,0.107928,0.117277,0.136753,0.015279,0.012332,0.125929,0.007565
2015,0.002124,-0.097027,-0.030774,-0.027671,-0.078523,-0.003039,0.042652,-0.090985,-0.08201,0.020606,0.007295
2016,0.135839,0.365513,0.235388,0.079028,0.260448,0.132528,0.090758,0.170321,0.210513,0.110719,0.020746
2017,0.223181,0.091062,0.1343,0.246912,0.181435,0.156072,0.293018,0.151167,0.147967,0.235808,0.021091
2018,-0.050324,-0.125563,-0.106754,-0.078374,-0.145059,-0.070303,0.000131,-0.162019,-0.130496,-0.028057,0.019102
2019,0.305638,0.147216,0.25999,0.292017,0.276681,0.279557,0.338507,0.119063,0.192603,0.315172,0.022851
2020,0.240662,0.04129,0.118195,0.579561,-0.038493,0.011175,0.361999,0.342051,0.282765,0.237531,0.01362
2021,0.238629,0.424449,0.258368,0.027747,0.369428,0.200705,0.253936,0.224534,0.279417,0.262257,0.070364
2022,-0.199168,-0.062944,-0.168841,-0.276147,0.043074,-0.083512,-0.25728,-0.229006,-0.218787,-0.205639,0.0645
2023,0.266912,0.125982,0.230164,0.163984,0.135001,0.106621,0.378045,0.053663,0.067791,0.308477,0.033521
