date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007,0.0301,0.0138,0.018600000000000002,0.0626,0.045700000000000005,0.044800000000000006
199008,-0.0664,-0.0408,-0.0208,-0.0767,-0.0588,-0.0877
199009,-0.0536,-0.0479,-0.038900000000000004,-0.08810000000000001,-0.069,-0.10400000000000001
199010,-0.0642,-0.0489,-0.0726,0.0155,-0.0403,-0.005600000000000001
199011,-0.0254,-0.0437,-0.04019999999999999,-0.0194,-0.0216,-0.02
199012,-0.0412,-0.0346,-0.0242,0.020499999999999997,-0.012199999999999999,-0.0168
199101,0.0311,0.0369,0.0208,0.0501,0.055099999999999996,0.08710000000000001
199102,0.0965,0.094,0.052000000000000005,0.09609999999999999,0.078,0.10869999999999999
199103,-0.006,0.0191,0.0323,0.0204,0.041100000000000005,0.018000000000000002
199104,0.032400000000000005,0.06,0.029900000000000003,0.017,0.044500000000000005,0.0171
199105,-0.013500000000000002,-0.0163,-0.0077,-0.0022,-0.0116,0.0209
199106,0.0001,0.0031,0.001,-0.0070999999999999995,0.0096,-0.0137
199107,0.038900000000000004,0.0412,0.0852,0.0454,0.0663,0.0868
199108,-0.0368,-0.0069,-0.0069,-0.0016,-0.0232,-0.0033
199109,0.008,0.0191,0.0412,0.0104,0.011699999999999999,0.013300000000000001
199110,0.0296,0.0492,0.0611,0.0471,0.0388,0.041299999999999996
199111,0.029500000000000002,0.0070999999999999995,0.0354,0.0038,-0.013300000000000001,0.008100000000000001
199112,-0.0008,0.0008,-0.0149,0.0208,0.020499999999999997,0.015700000000000002
199201,0.032,0.0137,0.0116,0.005600000000000001,0.0141,0.0387
199202,0.0191,0.0332,0.0252,0.0191,0.0044,0.0564
199203,0.0058,-0.0053,0.0051,0.0141,-0.0085,-0.0085
199204,0.0070999999999999995,0.0388,0.0053,0.0642,0.053399999999999996,0.061399999999999996
199205,0.0687,0.053099999999999994,0.0662,0.0574,0.0676,0.1481
199206,-0.0163,-0.0025,-0.0103,-0.0006,-0.0199,-0.005
199207,-0.0116,-0.0046,-0.0282,-0.0275,-0.0393,-0.022000000000000002
199208,-0.0673,-0.0528,-0.056100000000000004,-0.058600000000000006,-0.0661,-0.044800000000000006
199209,-0.015700000000000002,-0.022400000000000003,0.0004,-0.0288,-0.0347,0.0034000000000000002
199210,0.011399999999999999,0.0,0.013600000000000001,0.0296,0.0134,0.0716
199211,-0.0076,0.009899999999999999,0.0032,-0.0046,-0.0313,-0.0271
199212,0.0232,0.0253,0.0079,0.0412,0.0092,-0.0384
199301,0.0154,0.015,0.021099999999999997,0.012,0.002,0.0281
199302,0.0691,0.0725,0.0707,0.0721,0.0874,0.0969
199303,0.0644,0.06,0.061900000000000004,0.0356,0.0255,0.0123
199304,0.1099,0.0678,0.102,0.0385,0.057,0.0724
199305,0.09,0.0642,0.0776,0.0373,0.047400000000000005,0.0654
199306,-0.020499999999999997,-0.0268,0.031200000000000002,-0.026099999999999998,-0.0316,-0.031400000000000004
199307,0.0464,0.044800000000000006,0.0137,0.025099999999999997,0.026099999999999998,0.020499999999999997
199308,0.049699999999999994,0.0487,0.0633,0.0684,0.0626,0.07200000000000001
199309,-0.0213,-0.0246,-0.0241,0.0016,0.002,0.015
199310,0.1206,0.10640000000000001,0.1222,0.1557,0.158,0.1883
199311,-0.011899999999999999,-0.0052,0.0126,-0.038900000000000004,-0.0111,-0.0269
199312,0.13269999999999998,0.16269999999999998,0.1743,0.1689,0.2132,0.27190000000000003
199401,0.032400000000000005,0.0416,0.0608,-0.0091,0.0254,0.005600000000000001
199402,-0.0175,-0.0105,-0.0046,-0.0721,-0.0678,-0.0698
199403,-0.1045,-0.076,-0.0959,-0.1059,-0.0832,-0.10679999999999999
199404,-0.0006,0.0161,0.0209,0.0496,0.0078000000000000005,0.026699999999999998
199405,-0.006,0.013500000000000002,0.012199999999999999,0.0508,0.054299999999999994,0.0434
199406,-0.032799999999999996,-0.0463,-0.035699999999999996,-0.0493,-0.061900000000000004,-0.0809
199407,-0.0019,0.020099999999999996,0.015,0.0408,0.0632,0.0574
199408,0.0068000000000000005,0.0128,0.0191,0.0415,0.0538,0.0245
199409,-0.011399999999999999,-0.020499999999999997,-0.0088,-0.0163,-0.0287,-0.022099999999999998
199410,-0.023399999999999997,-0.015600000000000001,-0.0013,0.0134,0.0217,0.0084
199411,-0.0877,-0.0704,-0.057800000000000004,-0.079,-0.079,-0.09230000000000001
199412,-0.0297,-0.030699999999999998,-0.0173,-0.0207,0.0034999999999999996,-0.014199999999999999
199501,-0.102,-0.0852,-0.0719,-0.0633,-0.08560000000000001,-0.0565
