date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007,0.051699999999999996,0.051,0.0441,0.0152,0.022099999999999998,0.0304
199008,-0.1151,-0.1094,-0.10710000000000001,-0.1012,-0.1038,-0.10400000000000001
199009,-0.1101,-0.1103,-0.10460000000000001,-0.1533,-0.1386,-0.1335
199010,0.0911,0.0827,0.051699999999999996,0.2021,0.163,0.12960000000000002
199011,-0.07629999999999999,-0.0537,-0.0513,-0.08449999999999999,-0.06480000000000001,-0.0712
199012,-0.0096,-0.0106,-0.0088,0.0318,0.0139,-0.0055000000000000005
199101,-0.0294,-0.023,-0.018000000000000002,0.0301,0.0206,0.0225
199102,0.1295,0.12269999999999999,0.1188,0.09210000000000002,0.10279999999999999,0.11710000000000001
199103,-0.0216,-0.0311,-0.0219,-0.04650000000000001,-0.045700000000000005,-0.050199999999999995
199104,0.0151,0.008100000000000001,0.011399999999999999,0.0129,0.0165,0.0109
199105,-0.0213,-0.011000000000000001,-0.0177,-0.0044,0.0014000000000000002,-0.0029
199106,-0.052300000000000006,-0.049,-0.0437,-0.0721,-0.0697,-0.0546
199107,0.0148,0.0163,0.0187,0.0313,0.043899999999999995,0.0434
199108,-0.031400000000000004,-0.0232,-0.027999999999999997,-0.0286,-0.023399999999999997,-0.0311
199109,0.0533,0.065,0.050499999999999996,0.061200000000000004,0.059699999999999996,0.0581
199110,0.0232,0.0059,0.0034999999999999996,0.0356,0.0154,0.0096
199111,-0.0346,-0.0371,-0.0395,-0.0516,-0.0484,-0.0599
199112,0.0345,0.028300000000000002,0.026699999999999998,0.051100000000000007,0.0415,0.0437
199201,-0.0216,-0.0163,-0.0079,-0.036699999999999997,-0.0319,-0.0092
199202,-0.010700000000000001,-0.009300000000000001,-0.0060999999999999995,-0.0364,-0.040999999999999995,-0.033
199203,-0.0565,-0.0472,-0.0415,-0.0828,-0.0642,-0.0669
199204,-0.0115,0.0025,0.009300000000000001,-0.0248,-0.0116,0.0217
199205,0.0689,0.0678,0.0802,0.0704,0.0687,0.0665
199206,-0.021,-0.023,-0.025099999999999997,-0.0507,-0.0434,-0.04190000000000001
199207,-0.0519,-0.0513,-0.053099999999999994,-0.0166,-0.0305,-0.042699999999999995
199208,0.0223,0.017,0.0105,0.0981,0.053,0.0462
199209,-0.016399999999999998,-0.031200000000000002,-0.0381,-0.031,-0.0223,-0.0285
199210,-0.0727,-0.0675,-0.061500000000000006,-0.050199999999999995,-0.0632,-0.039900000000000005
199211,-0.0147,-0.018500000000000003,-0.0212,0.0191,0.0018,0.0012
199212,0.022400000000000003,0.0189,0.0092,-0.0012,0.0055000000000000005,0.0072
199301,0.0113,0.0116,0.0177,-0.0083,-0.0025,0.015
199302,0.0385,0.0346,0.048,0.028399999999999998,0.04,0.0317
199303,0.11259999999999999,0.0981,0.1052,0.08470000000000001,0.10980000000000001,0.11630000000000001
199304,0.09939999999999999,0.0986,0.12029999999999999,0.087,0.0897,0.1164
199305,0.08460000000000001,0.0859,0.0907,0.0403,0.025699999999999997,0.0203
199306,-0.0344,-0.045599999999999995,-0.0412,-0.0253,-0.0342,-0.0358
199307,0.0089,0.0106,0.0175,0.0467,0.0401,0.0524
199308,0.0536,0.0592,0.0706,0.0434,0.049400000000000006,0.059500000000000004
199309,-0.0223,-0.0113,-0.017,-0.0313,-0.0294,-0.0304
199310,-0.0018,-0.0066,0.0040999999999999995,0.0121,0.0148,0.0132
199311,-0.060899999999999996,-0.054000000000000006,-0.0538,-0.1011,-0.0805,-0.0993
199312,0.0528,0.053099999999999994,0.0757,0.045899999999999996,0.062,0.079
199401,0.0907,0.1035,0.1318,0.0915,0.09960000000000001,0.1297
199402,0.0013,0.006,0.0125,-0.0073,-0.0046,0.005699999999999999
199403,-0.024,-0.0097,-0.009000000000000001,-0.037200000000000004,-0.0325,-0.0165
199404,0.0301,0.034300000000000004,0.0496,0.0383,0.031200000000000002,0.0371
199405,-0.0126,-0.013300000000000001,-0.0049,-0.0097,-0.0059,0.009399999999999999
199406,0.0125,0.0067,0.0182,0.0163,0.0242,0.024300000000000002
199407,0.0018,0.012199999999999999,0.0085,-0.005699999999999999,0.013500000000000002,0.006500000000000001
199408,0.0109,0.005699999999999999,0.0002,0.0167,0.0178,0.0096
199409,-0.0183,-0.0177,-0.0138,-0.0294,-0.0301,-0.0274
199410,0.009000000000000001,0.0116,0.015600000000000001,0.024900000000000002,0.036000000000000004,0.0334
199411,-0.0675,-0.0601,-0.0584,-0.054900000000000004,-0.0536,-0.053399999999999996
199412,0.0089,0.006500000000000001,0.0075,0.0172,0.0091,0.0055000000000000005
199501,-0.0349,-0.022000000000000002,-0.0274,-0.04190000000000001,-0.0437,-0.046799999999999994
