date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007,0.0242,0.0191,0.0096,0.0064,0.0168,0.0138
199008,-0.12210000000000001,-0.1148,-0.10550000000000001,-0.095,-0.1,-0.102
199009,-0.1082,-0.1,-0.09380000000000001,-0.1177,-0.10779999999999999,-0.11599999999999999
199010,0.0519,0.0349,0.0053,0.1304,0.102,0.0874
199011,-0.0311,-0.0105,-0.0085,-0.0344,-0.0242,-0.0345
199012,0.0123,0.0076,0.0109,0.0308,0.0195,0.0027
199101,0.0095,0.0134,0.0208,0.038,0.0256,0.0361
199102,0.1273,0.1148,0.1134,0.0891,0.0889,0.1036
199103,0.0141,0.0001,0.0131,-0.0138,-0.0233,-0.0338
199104,0.0064,0.009399999999999999,0.0137,0.0068000000000000005,0.013500000000000002,0.0087
199105,0.0053,0.011899999999999999,0.0077,0.011899999999999999,0.0134,0.0158
199106,-0.0519,-0.0447,-0.0391,-0.062400000000000004,-0.06,-0.053
199107,0.0276,0.0241,0.0229,0.0449,0.0414,0.0421
199108,-0.008100000000000001,-0.0044,-0.0028000000000000004,-0.0006,-0.0084,-0.0173
199109,0.0393,0.044800000000000006,0.0282,0.0269,0.0344,0.0361
199110,0.0248,0.0125,0.011899999999999999,0.0296,0.013000000000000001,0.0141
199111,-0.035699999999999996,-0.0407,-0.0434,-0.0392,-0.0473,-0.058600000000000006
199112,0.0623,0.042300000000000004,0.0424,0.09179999999999999,0.0587,0.0571
199201,0.011000000000000001,0.0132,0.0348,-0.0342,-0.0263,0.0034000000000000002
199202,-0.0044,0.0018,0.0195,-0.0217,-0.0218,-0.008199999999999999
199203,-0.0664,-0.0403,-0.026000000000000002,-0.060899999999999996,-0.0441,-0.050499999999999996
199204,-0.0254,-0.0101,-0.0026,-0.0137,0.0103,0.023799999999999998
199205,0.0407,0.0418,0.0529,0.0434,0.0424,0.044500000000000005
199206,-0.0363,-0.0294,-0.0263,-0.0414,-0.0302,-0.0302
199207,-0.0263,-0.025099999999999997,-0.0239,0.0101,0.001,-0.0195
199208,-0.003,0.0054,0.0009,0.0475,0.0252,0.011399999999999999
199209,-0.0069,-0.0115,-0.0196,-0.0109,-0.0066,-0.0178
199210,-0.0292,-0.0305,-0.0315,-0.0181,-0.037599999999999995,-0.0258
199211,0.0323,0.0178,0.0113,0.0325,0.011000000000000001,0.0177
199212,0.017,0.0231,0.027000000000000003,0.0013,0.015,0.0109
199301,0.0084,0.0194,0.0377,-0.0111,0.0049,0.024399999999999998
199302,-0.009000000000000001,0.009399999999999999,0.0323,0.001,0.0392,0.0305
199303,0.0716,0.0717,0.0787,0.0529,0.0755,0.08289999999999999
199304,0.0487,0.049400000000000006,0.06309999999999999,0.0255,0.048499999999999995,0.0692
199305,0.0761,0.0694,0.0689,0.041299999999999996,0.0239,0.0187
199306,-0.0278,-0.0279,-0.0229,-0.0192,-0.0172,-0.0155
199307,0.0086,0.0098,0.0179,0.0179,0.0288,0.0359
199308,0.0473,0.0556,0.0601,0.040999999999999995,0.0454,0.0509
199309,-0.0029,0.0019,-0.0025,-0.022400000000000003,-0.018600000000000002,-0.0172
199310,0.013300000000000001,0.0051,0.011000000000000001,0.022000000000000002,0.0102,0.0070999999999999995
199311,-0.0528,-0.0436,-0.044800000000000006,-0.0601,-0.0587,-0.0702
199312,0.0398,0.045,0.056299999999999996,0.030299999999999997,0.0454,0.058499999999999996
199401,0.0674,0.0755,0.0974,0.061399999999999996,0.0757,0.09519999999999999
199402,-0.0031,0.0063,0.0054,-0.0118,-0.0118,-0.0097
199403,-0.0383,-0.0252,-0.019299999999999998,-0.0424,-0.0349,-0.024300000000000002
199404,0.014499999999999999,0.0242,0.0363,0.0262,0.0246,0.029300000000000003
199405,-0.016200000000000003,-0.015,-0.0019,-0.0013,0.0,0.011200000000000002
199406,-0.0089,-0.0053,0.006999999999999999,-0.0017000000000000001,0.0073,0.008
199407,0.0063,0.011899999999999999,0.0108,0.0066,0.021400000000000002,0.0154
199408,0.0382,0.0245,0.0127,0.0322,0.0218,0.0194
199409,-0.0111,-0.0078000000000000005,-0.008,-0.0219,-0.029900000000000003,-0.0302
199410,0.01,0.0060999999999999995,0.0073,0.023799999999999998,0.0319,0.0241
199411,-0.0518,-0.048600000000000004,-0.0506,-0.0433,-0.0496,-0.0507
199412,0.0091,0.0126,0.008100000000000001,0.0175,0.0092,0.0070999999999999995
199501,-0.0235,-0.011699999999999999,-0.0152,-0.0166,-0.0206,-0.019299999999999998
199502,0.011899999999999999,0.0139,0.015300000000000001,0.008,0.0102,0.0109
199503,0.031200000000000002,0.024700000000000003,0.0241,0.054900000000000004,0.049699999999999994,0.0383
199504,0.013999999999999999,0.024,0.021400000000000002,0.0339,0.0321,0.0301
199505,0.0015,0.0046,0.005,0.0031,0.0024,0.0102
199506,0.031,0.024300000000000002,0.0131,0.0043,-0.0004,0.0034000000000000002
199507,0.0712,0.046799999999999994,0.0405,0.048600000000000004,0.050199999999999995,0.04
199508,0.0084,0.0074,0.0017000000000000001,-0.0158,-0.0151,-0.014199999999999999
199509,0.013600000000000001,0.0085,0.006999999999999999,0.028900000000000002,0.019799999999999998,0.0155
199510,-0.029900000000000003,-0.0348,-0.0286,-0.0124,-0.0116,-0.0206
199511,0.019299999999999998,0.0173,0.022000000000000002,0.0365,0.0277,0.0321
199512,0.028900000000000002,0.03,0.028999999999999998,0.0209,0.028900000000000002,0.0311
199601,0.0125,0.016399999999999998,0.0175,0.0111,0.0171,0.021400000000000002
199602,0.030600000000000002,0.0171,0.0175,0.006999999999999999,0.0113,0.0073
199603,0.0182,0.0189,0.018799999999999997,0.0131,0.0181,0.0148
199604,0.0729,0.0611,0.0524,0.0256,0.033,0.0218
199605,0.0287,0.022799999999999997,0.027200000000000002,0.009899999999999999,-0.0032,0.004
199606,-0.0373,-0.0229,-0.013500000000000002,0.0005,-0.0005,0.0058
199607,-0.0883,-0.0545,-0.036699999999999997,-0.045700000000000005,-0.0352,-0.0332
199608,0.0345,0.0275,0.015,0.008199999999999999,0.0144,0.013999999999999999
199609,0.013999999999999999,0.0096,0.0108,0.0454,0.035699999999999996,0.030299999999999997
199610,-0.0187,-0.0005,0.0055000000000000005,-0.006999999999999999,0.0038,0.011200000000000002
199611,0.0098,0.021099999999999997,0.027999999999999997,0.0466,0.0516,0.0639
199612,-0.0111,-0.0008,-0.0021,-0.0226,-0.008199999999999999,-0.0091
