date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007,0.039900000000000005,0.0552,0.087,-0.0123,0.0014000000000000002,0.013000000000000001
199008,-0.1638,-0.1528,-0.1523,-0.1024,-0.1101,-0.1074
199009,-0.1442,-0.1726,-0.1637,-0.1787,-0.1655,-0.1565
199010,0.2627,0.2933,0.2504,0.2965,0.2559,0.2177
199011,-0.1931,-0.1877,-0.1807,-0.1291,-0.1211,-0.1454
199012,-0.0187,-0.0337,-0.0335,0.0556,0.035699999999999996,-0.0017000000000000001
199101,-0.069,-0.049400000000000006,-0.041100000000000005,0.035,0.0202,0.011899999999999999
199102,0.2443,0.2596,0.20550000000000002,0.0962,0.1278,0.151
199103,-0.0137,-0.011200000000000002,-0.0003,-0.0431,-0.0425,-0.048499999999999995
199104,0.0262,0.032400000000000005,0.055,0.0208,0.0288,0.0219
199105,-0.0381,-0.0148,-0.0178,-0.0127,-0.009399999999999999,-0.024900000000000002
199106,-0.069,-0.0608,-0.0368,-0.08130000000000001,-0.0783,-0.0421
199107,-0.012,-0.0051,-0.0104,0.0155,0.028300000000000002,0.0339
199108,-0.1143,-0.1142,-0.1104,-0.056600000000000004,-0.0565,-0.07730000000000001
199109,0.10769999999999999,0.1094,0.10529999999999999,0.08539999999999999,0.0943,0.08929999999999999
199110,0.08380000000000001,0.0697,0.045899999999999996,0.0616,0.0431,0.0311
199111,-0.10439999999999999,-0.1013,-0.1035,-0.08259999999999999,-0.0669,-0.0906
199112,0.049699999999999994,0.0379,0.0382,0.0301,0.026000000000000002,0.0398
199201,-0.061399999999999996,-0.066,-0.0593,-0.061500000000000006,-0.06480000000000001,-0.0253
199202,-0.042199999999999994,-0.0425,-0.0454,-0.0655,-0.07780000000000001,-0.0764
199203,-0.138,-0.10800000000000001,-0.1186,-0.1267,-0.1017,-0.0998
199204,-0.1116,-0.1104,-0.0897,-0.09449999999999999,-0.0907,-0.0073
199205,0.1426,0.1494,0.1201,0.09820000000000001,0.0868,0.0726
199206,-0.1043,-0.0776,-0.07980000000000001,-0.098,-0.0891,-0.0727
199207,-0.09140000000000001,-0.0784,-0.0741,-0.001,-0.0316,-0.0406
199208,0.1352,0.11109999999999999,0.1033,0.2259,0.1503,0.1261
