Year,Country,Domestic_Stock,Global_Stock,Domestic_Bond,Inflation
1871,AUS,0.11019297,0.15573560,0.00000000,-0.01538437
1872,AUS,0.17674930,0.23090763,0.00000000,-0.04687499
1873,AUS,0.15168582,0.14472484,0.00000000,0.00000000
1874,AUS,0.19148140,0.02918078,0.00000000,0.04918032
1875,AUS,0.12440787,-0.05169990,0.00000000,0.03124987
1876,AUS,0.11881457,-0.06902500,0.00000000,0.01515164
1877,AUS,0.13659137,0.01758262,0.00000000,0.02985062
1878,AUS,-0.07893736,-0.01366504,0.00000000,-0.01449287
1879,AUS,0.12413586,0.23589329,0.00000000,-0.02941165
1880,AUS,0.11423738,0.07548565,0.00000000,-0.03030291
1881,AUS,0.07269453,0.04514440,0.00000000,-0.01562512
1882,AUS,0.09030421,-0.04095062,0.00000000,0.01587314
1883,AUS,0.28716499,0.01418517,0.00000000,0.10937474
1884,AUS,0.04400000,-0.00800749,0.00000000,0.01408462
1885,AUS,0.11300001,-0.01816613,0.00000000,0.00000000
1886,AUS,0.02900000,0.02598713,0.00000000,0.00000000
1887,AUS,0.28200001,0.05043411,0.00000000,-0.02777767
1888,AUS,0.26199999,0.14173024,0.00000000,-0.04285714
1889,AUS,-0.01100000,0.24259329,0.00000000,0.00000000
1890,AUS,0.01400000,0.00562583,0.00000000,0.00000000
1891,AUS,-0.10399999,-0.02246019,0.00000000,-0.01492549
1892,AUS,0.06300000,0.01236723,0.00000000,-0.01515164
1893,AUS,-0.04900000,-0.01191046,0.00000000,-0.03076911
1894,AUS,0.10600001,0.11633665,0.00000000,-0.06349219
1895,AUS,0.20100001,0.09859183,0.00000000,-0.06779635
1896,AUS,0.01700000,0.09647320,0.00000000,0.00000000
1897,AUS,0.08500000,0.13016286,0.00000000,0.00000000
1898,AUS,0.15500000,0.09883759,0.00000000,-0.01818196
1899,AUS,0.12100001,0.05417350,0.00000000,0.05555556
1900,AUS,0.12200000,0.00481443,0.01996787,0.01754400
1901,AUS,-0.03200000,-0.02945851,0.00193683,0.01724110
1902,AUS,0.15600000,0.06165413,0.00496364,0.06779675
1903,AUS,0.21900000,0.07780276,-0.01485757,0.01587314
1904,AUS,0.07500000,0.06361317,0.01384331,-0.04687499
1905,AUS,0.14600000,0.07982222,0.08857621,0.00000000
1906,AUS,0.10200000,0.17051498,0.07954419,0.01639318
1907,AUS,0.08800000,-0.01032768,-0.03257241,0.00000000
1908,AUS,0.17299999,0.05307666,0.05170672,0.03225833
1909,AUS,0.13500001,0.10350107,0.02540750,0.01562475
1910,AUS,0.06700000,0.06720000,0.03399746,0.01538474
1911,AUS,0.10700000,0.03881565,0.02622407,0.07575745
1912,AUS,0.08600000,0.06016660,0.00478652,0.08450705
1913,AUS,0.08899999,0.00602005,0.04671228,-0.01298681
1914,AUS,0.11399999,-0.05103658,0.03467462,0.05263136
1915,AUS,-0.03500000,0.09705930,0.01529948,0.11250001
1916,AUS,-0.03400000,0.08775357,0.03868513,0.02247209
1917,AUS,0.15500000,0.15478053,0.05200749,0.06593406
1918,AUS,0.07500000,0.08635661,0.01283066,0.07216478
1919,AUS,0.18700001,0.02288080,0.04032709,0.12500009
1920,AUS,0.08100000,-0.20480676,0.02257023,0.01709395
1921,AUS,0.19900000,-0.15161854,0.09520445,-0.09243691
1922,AUS,0.21300000,0.08996104,0.06473860,-0.01851844
1923,AUS,0.16200000,-0.02486886,0.04092919,0.00000000
1924,AUS,0.13699999,-0.02654272,0.03612132,0.00943381
1925,AUS,0.17700000,0.10824502,0.08992226,0.00934587
1926,AUS,0.14100000,0.14940800,0.04186882,0.00000000
1927,AUS,0.12400000,0.38165429,0.05811540,0.01851844
1928,AUS,0.17700000,0.21897889,0.04486045,0.00909098
1929,AUS,-0.05300000,-0.14511047,-0.01681391,0.00000000
1930,AUS,-0.29600000,-0.05791804,-0.04433067,-0.08108108
1931,AUS,0.17700000,-0.31322516,0.03795658,-0.03921576
1932,AUS,0.24800000,0.18538444,0.33444881,-0.04081617
1933,AUS,0.25600001,0.19315852,0.05805879,0.00000000
1934,AUS,0.23200001,-0.04259501,0.07237170,0.00000000
1935,AUS,0.10100000,0.28341865,0.02196123,0.01063813
1936,AUS,0.19800000,0.11264848,0.03695134,0.03157895
1937,AUS,0.02400000,-0.10143316,-0.01219530,0.02040833
1938,AUS,-0.00500000,-0.02538912,-0.01687716,0.01999992
1939,AUS,0.05300000,0.21922592,0.02013827,0.02941176
1940,AUS,0.03500000,0.76536058,0.11944659,0.05714286
1941,AUS,-0.05500000,0.36626436,-0.00333475,0.05405405
1942,AUS,0.18400000,0.21637256,0.06471203,0.05982913
1943,AUS,0.08899999,-0.04338964,0.05429812,0.00806439
1944,AUS,0.08000000,-0.05177291,0.04938144,0.00800006
1945,AUS,0.14100000,0.04489114,0.03436412,0.02380952
1946,AUS,0.13300000,-0.26858639,0.09984294,0.02325581
1947,AUS,0.16600001,-0.10409366,-0.03426471,0.07575764
1948,AUS,0.02400000,-0.11274937,0.05791679,0.08450704
1949,AUS,0.08100000,0.55708242,-0.04020371,0.08604950
1950,AUS,0.31400001,0.08973148,0.04981490,0.09190368
1951,AUS,-0.04600000,0.27736683,-0.08226433,0.19839675
1952,AUS,-0.13300000,0.09577765,0.01463588,0.17224119
1953,AUS,0.13000000,0.13037804,0.08746678,0.04279584
1954,AUS,0.18600000,0.36745227,0.07898322,0.00683947
1955,AUS,0.10300000,0.26437046,-0.09786063,0.02038081
1956,AUS,0.07700000,0.11211272,-0.00689030,0.06258361
1957,AUS,0.16700001,-0.11453084,0.04079162,0.02474864
1958,AUS,0.18900000,0.04656105,0.09300865,0.01314605
1959,AUS,0.44299999,0.02237939,0.07289112,0.01840691
1960,AUS,-0.06200000,-0.01644281,-0.01366253,0.03792595
1961,AUS,0.11600000,0.20447678,0.04118251,0.02512138
1962,AUS,0.04200000,0.09626431,0.14103387,-0.00278455
1963,AUS,0.26600000,0.12072079,0.04974650,0.00530556
1964,AUS,0.04400000,0.04220788,0.00975100,0.02361093
1965,AUS,-0.08199999,0.03897466,0.05283568,0.03962005
1966,AUS,0.06700000,-0.02160336,0.03102749,0.02975738
1967,AUS,0.42500001,0.05066038,0.04224278,0.03193882
1968,AUS,0.34799999,0.21769611,0.02181269,0.02652947
1969,AUS,0.10100000,0.31557142,0.11040104,0.02919383
1970,AUS,-0.13699999,0.07239779,-0.00515931,0.03906005
1971,AUS,-0.06100000,0.06905007,0.11616829,0.06064037
1972,AUS,0.36400002,0.27819136,0.08838739,0.05864983
1973,AUS,-0.25799999,0.16162587,-0.12465823,0.09465895
1974,AUS,-0.26199999,0.09733287,0.00627493,0.15110149
1975,AUS,0.54600000,-0.02751372,0.06314481,0.15071973
1976,AUS,0.03600000,-0.00783227,0.07441658,0.13523924
1977,AUS,0.13200000,-0.30885494,0.16124147,0.12300242
1978,AUS,0.24299999,0.04988509,0.13986517,0.07923663
1979,AUS,0.38999999,0.09297773,0.00762051,0.09090002
1980,AUS,0.52300000,-0.11843358,-0.04250806,0.10126573
1981,AUS,-0.10800000,0.11374885,-0.00337326,0.09691754
1982,AUS,-0.15300000,-0.05902629,0.19335215,0.11145507
1983,AUS,0.63700002,0.04707669,0.15729685,0.10113560
1984,AUS,0.00500000,0.32990109,0.13867173,0.03950187
1985,AUS,0.42099997,1.03369912,0.05632564,0.06739043
1986,AUS,0.51099998,1.35242051,0.22134605,0.09084538
1987,AUS,-0.09600000,0.60563383,0.16009521,0.08488745
1988,AUS,0.21100001,-0.09302656,0.11884356,0.07231771
1989,AUS,0.17899999,0.28416065,0.13473000,0.07559422
1990,AUS,-0.15300000,-0.02909789,0.18066853,0.07272266
1991,AUS,0.27500001,0.06517953,0.29860270,0.03222700
1992,AUS,-0.02200000,-0.11964602,0.13209066,0.00985927
1993,AUS,0.40456143,0.28855224,0.25285846,0.01813117
1994,AUS,-0.08810186,-0.09450393,-0.12445140,0.01894933
1995,AUS,0.20723018,0.26322241,0.23438694,0.04638182
1996,AUS,0.14342470,0.21308292,0.15034890,0.02612381
1997,AUS,0.11419186,0.55751432,0.17412561,0.00224719
1998,AUS,0.08479027,0.54181430,0.13569862,0.00859492
1999,AUS,0.19295363,-0.03829648,-0.06895059,0.01407929
2000,AUS,0.05022540,-0.00137657,0.17290612,0.04457435
2001,AUS,0.10134625,-0.04443836,0.01772843,0.04407135
2002,AUS,-0.08096410,-0.15521328,0.12773061,0.03048576
2003,AUS,0.15864193,0.17373306,0.02281690,0.02730819
2004,AUS,0.27568078,0.28016534,0.08236133,0.02341772
2005,AUS,0.21087831,0.14803655,0.06357708,0.02659246
2006,AUS,0.24965543,0.42516389,0.00924279,0.03554217
2007,AUS,0.17953371,0.09793706,0.02779939,0.02356021
2008,AUS,-0.40384784,-0.28481291,0.27555603,0.04347826
2009,AUS,0.39578074,0.10328994,-0.07558394,0.01770153
2010,AUS,0.03306250,-0.26333470,0.07380643,0.02863259
2011,AUS,-0.11430838,-0.13859152,0.19634818,0.03355879
2012,AUS,0.18840820,0.07860356,0.07906865,0.01686383
2013,AUS,0.19655712,0.55176860,-0.04908798,0.02475248
2014,AUS,0.05609947,-0.00029440,0.18441404,0.02487923
2015,AUS,0.02560513,0.02362848,0.02237120,0.01484798
2016,AUS,0.11930000,-0.00356271,0.01419243,0.01277288
2017,AUS,0.12320000,0.14041144,0.03612415,0.01994955
2018,AUS,-0.03730000,-0.04722496,0.03046905,0.01933453
2019,AUS,0.23810001,0.13652023,0.10067927,0.01565946
2020,AUS,0.04920000,-0.07777163,0.00982349,0.00890337
1871,BEL,0.10193063,0.36900476,0.09977610,0.01980198
1872,BEL,0.25858626,0.19980066,0.05920558,0.03883495
1873,BEL,0.18055005,0.03571508,-0.08932192,0.07476636
1874,BEL,0.02039906,0.03475525,0.00166514,-0.04347826
1875,BEL,-0.07999185,0.03296284,0.04800814,-0.03636364
1876,BEL,-0.10533401,0.03616493,0.05069010,0.05660377
1877,BEL,0.00189929,0.04237775,0.06977650,0.00000000
1878,BEL,-0.00656025,-0.01909288,0.04341195,-0.04464286
1879,BEL,0.32134297,0.04721291,0.11313228,-0.02803738
1880,BEL,0.06140640,0.14907326,0.06441072,-0.04807692
1881,BEL,0.00338161,0.10632587,0.05328150,0.00000000
1882,BEL,-0.06664088,0.05803163,0.01311593,-0.01010101
1883,BEL,-0.03271814,0.07119637,0.02446815,0.01020408
1884,BEL,-0.03409774,0.02610716,0.06159873,-0.07070707
1885,BEL,-0.03009904,0.03730435,0.11011755,-0.03260870
1886,BEL,0.00362207,0.05122821,0.09694076,-0.07865169
1887,BEL,0.06295963,0.08708083,0.00034999,0.06097561
1888,BEL,0.15562053,0.14390950,0.04112619,-0.02298851
1889,BEL,0.29714510,0.11698297,0.03812418,0.02352941
1890,BEL,0.01537532,0.01030565,0.09577672,0.03448276
1891,BEL,-0.01920868,-0.03802707,0.05984027,0.00000000
1892,BEL,0.02862101,0.03038749,0.00722863,-0.03333333
1893,BEL,0.00837431,0.06804221,0.07002045,-0.03448276
1894,BEL,0.12919809,0.15070316,0.06302352,-0.02380952
1895,BEL,0.03400698,0.08165953,0.00079956,-0.02439024
1896,BEL,0.10684457,0.11905952,0.02593315,-0.03750000
1897,BEL,0.13035797,0.06733608,0.04627842,0.01298701
1898,BEL,0.14870684,0.09858357,0.00321507,0.00000000
1899,BEL,0.03951158,0.06678920,-0.02558675,0.01282051
1900,BEL,-0.09390378,0.02747089,0.00299136,0.12658228
1901,BEL,-0.10635246,-0.03268303,0.06926712,0.02247191
1902,BEL,0.01783980,0.03550665,0.06137610,-0.02197802
1903,BEL,0.11917616,0.05145991,0.01209734,0.00000000
1904,BEL,0.13691068,0.04462372,0.01536363,-0.12359551
1905,BEL,0.16397871,0.04867409,0.02257737,0.02564103
1906,BEL,0.11540911,0.20111081,0.03279768,0.10000000
1907,BEL,-0.07092306,0.02333283,0.00190607,0.02272727
1908,BEL,0.02360791,0.03993565,0.02055974,0.01111111
1909,BEL,0.17260279,0.09403425,0.01175417,-0.01098901
1910,BEL,0.08811419,0.07027208,0.00327380,0.02222222
1911,BEL,0.00031368,0.05276663,-0.00794389,0.06521739
